,ProjectName,methodName,methodBody,methodBodyLength,TotalMN,Prefix,Rank,AllOccurrance
0,C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java, standard connection handling policy,"public   ( int expiration percent )  {   preconditions . check argument (  ( expiration percent  >  0 )  &&  ( expiration percent  <  =  100 )  ""expiration percent must be  >  0 and  <  =  100"" )  ;  this . expiration percent = expiration percent ;   }  ",47,4,standard,1,[]
1,C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java, standard connection handling policy,"public   ( int expiration percent )  {   preconditions . check argument (  ( expiration percent  >  0 )  &&  ( expiration percent  <  =  100 )  ""expiration percent must be  >  0 and  <  =  100"" )  ;  this . expiration percent = expiration percent ;   }  ",47,4,connection,2,[]
2,C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java, standard connection handling policy,"public   ( int expiration percent )  {   preconditions . check argument (  ( expiration percent  >  0 )  &&  ( expiration percent  <  =  100 )  ""expiration percent must be  >  0 and  <  =  100"" )  ;  this . expiration percent = expiration percent ;   }  ",47,4,handling,3,[]
3,C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java, standard connection handling policy,"public   ( int expiration percent )  {   preconditions . check argument (  ( expiration percent  >  0 )  &&  ( expiration percent  <  =  100 )  ""expiration percent must be  >  0 and  <  =  100"" )  ;  this . expiration percent = expiration percent ;   }  ",47,4,policy,4,[]
4,C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java,call with retry,@ override public  < t > t   (  curator zookeeper client client  callable < t >  proc )  throws  exception  {  client . internal block until connected or timed out (  )  ;  t result = null ;   retry loop retry loop = client . new retry loop (  )  ;  while,52,3,call,1,[]
5,C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java,call with retry,@ override public  < t > t   (  curator zookeeper client client  callable < t >  proc )  throws  exception  {  client . internal block until connected or timed out (  )  ;  t result = null ;   retry loop retry loop = client . new retry loop (  )  ;  while,52,3,with,2,[]
6,C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java,call with retry,@ override public  < t > t   (  curator zookeeper client client  callable < t >  proc )  throws  exception  {  client . internal block until connected or timed out (  )  ;  t result = null ;   retry loop retry loop = client . new retry loop (  )  ;  while,52,3,retry,3,"[39, 41, 47]"
7,C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java,check timeouts,@ override public  check timeouts result   (  callable <  string >  has new connection string long connection start ms int session timeout ms int connection timeout ms )  throws  exception  {  if  ( has new connection string . call (  )   !  =  null )   {,46,2,check,1,[4]
8,C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java,check timeouts,@ override public  check timeouts result   (  callable <  string >  has new connection string long connection start ms int session timeout ms int connection timeout ms )  throws  exception  {  if  ( has new connection string . call (  )   !  =  null )   {,46,2,timeouts,2,[5]
9,C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java,get simulated session expiration percent,@ override public int   (  )  {  return expiration percent ;   }  ,12,5,get,1,[]
10,C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java,get simulated session expiration percent,@ override public int   (  )  {  return expiration percent ;   }  ,12,5,simulated,2,[]
11,C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java,get simulated session expiration percent,@ override public int   (  )  {  return expiration percent ;   }  ,12,5,session,3,[]
12,C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java,get simulated session expiration percent,@ override public int   (  )  {  return expiration percent ;   }  ,12,5,expiration,4,[9]
13,C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java,get simulated session expiration percent,@ override public int   (  )  {  return expiration percent ;   }  ,12,5,percent,5,[10]
14,C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\ConnectionState.java, connection state,  (  zookeeper factory zookeeper factory  ensemble provider ensemble provider int session timeout ms int connection timeout ms  watcher parent watcher  atomic reference <  tracer driver >  tracer boolean can be read only  connection handling policy connection handling policy )  {  this . ensemble provider = ensemble provider ;  this . session timeout ms = session timeout ms ;  this . connection timeout ms = connection timeout ms ;  this . tracer = tracer ;  this . connection handling policy = connection handling policy ;  if  ( parent watcher  !  =  null )   {  parent watchers . offer ( parent watcher )  ;   }  zoo keeper = new  handle holder ( zookeeper factory this ensemble provider session timeout ms can be read only )  ;   }  ,125,2,connection,1,"[15, 33, 36, 61, 65, 77, 81]"
15,C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\ConnectionState.java, connection state,  (  zookeeper factory zookeeper factory  ensemble provider ensemble provider int session timeout ms int connection timeout ms  watcher parent watcher  atomic reference <  tracer driver >  tracer boolean can be read only  connection handling policy connection handling policy )  {  this . ensemble provider = ensemble provider ;  this . session timeout ms = session timeout ms ;  this . connection timeout ms = connection timeout ms ;  this . tracer = tracer ;  this . connection handling policy = connection handling policy ;  if  ( parent watcher  !  =  null )   {  parent watchers . offer ( parent watcher )  ;   }  zoo keeper = new  handle holder ( zookeeper factory this ensemble provider session timeout ms can be read only )  ;   }  ,125,2,state,2,[]
16,C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\ConnectionState.java,add parent watcher,void   (  watcher watcher )  {  parent watchers . offer ( watcher )  ;   }  ,15,3,add,1,[]
