,ProjectName,methodName,methodBody,methodBodyLength,TotalMN,Prefix,Rank,AllOccurrance
0,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java, abstract instance config,protected   (  data center info info )  {  this . info = info ;   }  ,69,3,abstract,1,[]
1,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java, abstract instance config,protected   (  data center info info )  {  this . info = info ;   }  ,69,3,instance,2,[]
2,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java, abstract instance config,protected   (  data center info info )  {  this . info = info ;   }  ,69,3,config,3,[]
3,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,getasg name,@ override public  string   (  )  {  return null ;   }  ,56,2,getasg,1,[]
4,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,getasg name,@ override public  string   (  )  {  return null ;   }  ,56,2,name,2,[]
5,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get data center info,@ override public  data center info   (  )  {  return info ;   }  ,66,4,get,1,[]
6,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get data center info,@ override public  data center info   (  )  {  return info ;   }  ,66,4,data,2,[19]
7,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get data center info,@ override public  data center info   (  )  {  return info ;   }  ,66,4,center,3,[24]
8,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get data center info,@ override public  data center info   (  )  {  return info ;   }  ,66,4,info,4,"[31, 54]"
9,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get host info,"private static  pair <  string  string >    (  )  {   pair <  string  string >  pair ;  try  {   inet address local host =  inet address . get local host (  )  ;  pair = new  pair <  string  string >  ( local host . get host address (  )  local host . get host name (  )  )  ;   }  catch  (   unknown host exception e )   {  logger . error ( "" cannot get host info"" e )  ;  pair = new  pair <  string  string >  ( """" """" )  ;   }  return pair ;   }  ",449,3,get,1,"[139, 216, 252, 351]"
10,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get host info,"private static  pair <  string  string >    (  )  {   pair <  string  string >  pair ;  try  {   inet address local host =  inet address . get local host (  )  ;  pair = new  pair <  string  string >  ( local host . get host address (  )  local host . get host name (  )  )  ;   }  catch  (   unknown host exception e )   {  logger . error ( "" cannot get host info"" e )  ;  pair = new  pair <  string  string >  ( """" """" )  ;   }  return pair ;   }  ",449,3,host,2,"[116, 149, 209, 220, 245, 256, 301, 355]"
11,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get host info,"private static  pair <  string  string >    (  )  {   pair <  string  string >  pair ;  try  {   inet address local host =  inet address . get local host (  )  ;  pair = new  pair <  string  string >  ( local host . get host address (  )  local host . get host name (  )  )  ;   }  catch  (   unknown host exception e )   {  logger . error ( "" cannot get host info"" e )  ;  pair = new  pair <  string  string >  ( """" """" )  ;   }  return pair ;   }  ",449,3,info,3,[360]
12,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get host name,@ override public  string   ( boolean refresh )  {  return host info . second (  )  ;   }  ,91,3,get,1,[]
13,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get host name,@ override public  string   ( boolean refresh )  {  return host info . second (  )  ;   }  ,91,3,host,2,[59]
14,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get host name,@ override public  string   ( boolean refresh )  {  return host info . second (  )  ;   }  ,91,3,name,3,[]
15,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get ip address,@ override public  string   (  )  {  return host info . first (  )  ;   }  ,75,3,get,1,[]
16,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get ip address,@ override public  string   (  )  {  return host info . first (  )  ;   }  ,75,3,ip,2,[]
17,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get ip address,@ override public  string   (  )  {  return host info . first (  )  ;   }  ,75,3,address,3,[]
18,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get lease expiration duration in seconds,@ override public int   (  )  {  return lease   expiration   duration   seconds ;   }  ,87,6,get,1,[]
19,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get lease expiration duration in seconds,@ override public int   (  )  {  return lease   expiration   duration   seconds ;   }  ,87,6,lease,2,[40]
20,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get lease expiration duration in seconds,@ override public int   (  )  {  return lease   expiration   duration   seconds ;   }  ,87,6,expiration,3,[48]
21,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get lease expiration duration in seconds,@ override public int   (  )  {  return lease   expiration   duration   seconds ;   }  ,87,6,duration,4,[61]
22,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get lease expiration duration in seconds,@ override public int   (  )  {  return lease   expiration   duration   seconds ;   }  ,87,6,in,5,[18]
23,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get lease expiration duration in seconds,@ override public int   (  )  {  return lease   expiration   duration   seconds ;   }  ,87,6,seconds,6,[72]
24,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get lease renewal interval in seconds,@ override public int   (  )  {  return lease   renewal   interval   seconds ;   }  ,84,6,get,1,[]
25,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get lease renewal interval in seconds,@ override public int   (  )  {  return lease   renewal   interval   seconds ;   }  ,84,6,lease,2,[40]
26,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get lease renewal interval in seconds,@ override public int   (  )  {  return lease   renewal   interval   seconds ;   }  ,84,6,renewal,3,[48]
27,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get lease renewal interval in seconds,@ override public int   (  )  {  return lease   renewal   interval   seconds ;   }  ,84,6,interval,4,[58]
28,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get lease renewal interval in seconds,@ override public int   (  )  {  return lease   renewal   interval   seconds ;   }  ,84,6,in,5,"[18, 58]"
29,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get lease renewal interval in seconds,@ override public int   (  )  {  return lease   renewal   interval   seconds ;   }  ,84,6,seconds,6,[69]
30,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get metadata map,@ override public  map <  string  string >    (  )  {  return null ;   }  ,74,3,get,1,[]
31,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get metadata map,@ override public  map <  string  string >    (  )  {  return null ;   }  ,74,3,metadata,2,[]
32,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get metadata map,@ override public  map <  string  string >    (  )  {  return null ;   }  ,74,3,map,3,[19]
33,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get name,@ override public  name   (  )  {  return  name .  my own ;   }  ,65,2,get,1,[]
34,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get name,@ override public  name   (  )  {  return  name .  my own ;   }  ,65,2,name,2,"[19, 43]"
35,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get non secure port,@ override public int   (  )  {  return non   secure   port ;   }  ,67,4,get,1,[]
36,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get non secure port,@ override public int   (  )  {  return non   secure   port ;   }  ,67,4,non,2,[40]
37,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get non secure port,@ override public int   (  )  {  return non   secure   port ;   }  ,67,4,secure,3,[46]
38,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get non secure port,@ override public int   (  )  {  return non   secure   port ;   }  ,67,4,port,4,[55]
39,C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get secure port,@ override public int   (  )  {  return secure   port ;   }  ,61,3,get,1,[]
