,ProjectName,methodName,methodBody
0,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AsyncSupportServiceProcessor.java,handle,@ override public void   (  atmosphere framework framework  class <  async support >  annotated class )  {  try  {  framework . set async support ( new  default async support resolver ( framework . get atmosphere config (  )  )  . new comet support ( annotated class . get name (  )  )  )  ;   }  catch  (   throwable e )  
1,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AsyncSupportListenerServiceProcessor.java,handle,"@ override public void   (  atmosphere framework framework  class <  async support listener >  annotated class )  {  try  {  framework . async support listener ( framework . new class instance (  async support listener . class annotated class )  )  ;   }  catch  (   throwable e )   {  logger . warn ( """" e )  ;   }   } "
2,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AnnotationUtil.java,atmosphere config,"public static void   (  string[] m  atmosphere framework framework )  {  for  (   string s : m )   {   string[] nv = s . split ( "" = "" )  ;  framework . add init parameter ( nv[0] nv[1] )  ;  framework . reconfigure init params ( true )  ;   }   }  "
3,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AnnotationUtil.java,broadcaster,public static  broadcaster   (  atmosphere framework framework  class <  ?  extends  broadcaster >  broadcaster  string path )  throws  exception  {  return framework . get broadcaster factory (  )  . lookup ( broadcaster class ( framework broadcaster )  path true )  ;   }  
4,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AnnotationUtil.java,broadcaster class,public static  class <  ?  extends  broadcaster >    (  atmosphere framework framework  class <  ?  extends  broadcaster >  broadcaster )  throws  exception  {  if  ( framework . is broadcaster specified (  )  )   {  try  {  broadcaster =  (  class <  ?  extends  broadcaster >  ) framework . get class (  )  . get class loader (  )  . load class ( framework . get default broadcaster class name (  )  )  ;   }  catch  (   class not found exception ex )   {  broadcaster =  (  class <  ?  extends  broadcaster >  )  thread . current thread (  )  . get context class loader (  )  . load class ( framework . get default broadcaster class name (  )  )  ;   }   }  return broadcaster ;   }  
5,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AnnotationUtil.java,check default,public static boolean   (  class <  ?  extends  atmosphere interceptor >  i )  {  return  ! managed   atmosphere   interceptors . contains ( i )  &&  !  atmosphere framework . default   atmosphere   interceptors . contains ( i )  ;   }  
6,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AnnotationUtil.java,default managed service interceptors,public static void   (  atmosphere framework framework  list <  atmosphere interceptor >  l )  {  interceptors for managed service ( framework managed   atmosphere   interceptors l false )  ;   }  
7,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AnnotationUtil.java,filters,public static void   (  class <  ?  extends  broadcast filter > [] bf  atmosphere framework framework )  throws  illegal access exception   instantiation exception  {  for  (   class <  ?  extends  broadcast filter >  b : bf )   {  framework . broadcaster filters ( framework . new class instance (  broadcast filter . class b )  )  ;   }   }  
8,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AnnotationUtil.java,inspect,@ override public  action   (  atmosphere resource r )  {  if  (  ! r . is suspended (  )  )   {  for  (   class <  ?  extends  atmosphere resource event listener >  l : listeners )   {  try  {  r . add event listener ( framework . new class instance (  atmosphere resource event listener . class l )  )  ;   }  catch  (   throw
9,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AnnotationUtil.java,interceptors,"public static void   (  class <  ?  extends  atmosphere interceptor > [] interceptors  atmosphere framework framework )  {  for  (   class <  ?  extends  atmosphere interceptor >  i : interceptors )   {  try  {  framework . interceptor ( framework . new class instance (  atmosphere interceptor . class i )  )  ;   }  catch  (   throwable e )   {  logger . warn ( """" e )  ;   }   }   }  "
10,C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AnnotationUtil.java,interceptors for handler,"public static void   (  atmosphere framework framework  list <  class <  ?  extends  atmosphere interceptor >  >  interceptors  list <  atmosphere interceptor >  l )  {  for  (   class <  ?  extends  atmosphere interceptor >  i : interceptors )   {  if  (  ! framework . excluded interceptors (  )  . contains ( i . get name (  )  )  &&  (  !  atmosphere framework . default   atmosphere   interceptors . contains ( i )  )  )   {  try  {  logger . info ( "" adding  {  } "" i )  ;  l . add ( framework . new class instance (  atmosphere interceptor . class i )  )  ;   }  catch  (   throwable e )   {  logger . warn ( """" e )  ;   }   }   }   }  "
