ProjectName,methodName,methodBody
C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java, standard connection handling policy,"public   ( int expiration percent )  {   preconditions . check argument (  ( expiration percent  >  0 )  &&  ( expiration percent  <  =  100 )  ""expiration percent must be  >  0 and  <  =  100"" )  ;  this . expiration percent = expiration percent ;   }  "
C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java,call with retry,@ override public  < t > t   (  curator zookeeper client client  callable < t >  proc )  throws  exception  {  client . internal block until connected or timed out (  )  ;  t result = null ;   retry loop retry loop = client . new retry loop (  )  ;  while
C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java,check timeouts,@ override public  check timeouts result   (  callable <  string >  has new connection string long connection start ms int session timeout ms int connection timeout ms )  throws  exception  {  if  ( has new connection string . call (  )   !  =  null )   {
C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java,get simulated session expiration percent,@ override public int   (  )  {  return expiration percent ;   }  
C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\ConnectionState.java, connection state,  (  zookeeper factory zookeeper factory  ensemble provider ensemble provider int session timeout ms int connection timeout ms  watcher parent watcher  atomic reference <  tracer driver >  tracer boolean can be read only  connection handling policy connection handling policy )  {  this . ensemble provider = ensemble provider ;  this . session timeout ms = session timeout ms ;  this . connection timeout ms = connection timeout ms ;  this . tracer = tracer ;  this . connection handling policy = connection handling policy ;  if  ( parent watcher  !  =  null )   {  parent watchers . offer ( parent watcher )  ;   }  zoo keeper = new  handle holder ( zookeeper factory this ensemble provider session timeout ms can be read only )  ;   }  
C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\ConnectionState.java,add parent watcher,void   (  watcher watcher )  {  parent watchers . offer ( watcher )  ;   }  
C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\ConnectionState.java,call,@ override public  string   (  )  {  new connection string . set ( zoo keeper . get new connection string (  )  )  ;  return new connection string . get (  )  ;   }  
C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\ConnectionState.java,check state,"private boolean   (  event .  keeper state state boolean was connected )  {  boolean is connected = was connected ;  boolean check new connection string = true ;  switch  ( state )   {  default : case  disconnected:  {  is connected = false ;  break ;   }  case  sync connected: case  connected read only:  {  is connected = true ;  break ;   }  case  auth failed:  {  is connected = false ;  log . error ( "" authentication failed"" )  ;  break ;   }  case  expired:  {  is connected = false ;  check new connection string = false ;  handle expired session (  )  ;  break ;   }  case  sasl authenticated:  {  break ;   }   }  if  ( state  !  =   event .  keeper state .  expired )   {  new  event trace ( state . to string (  )  tracer . get (  )  get session id (  )  )  . commit (  )  ;   }  if  ( check new connection string )   {   string new connection string = zoo keeper . get new connection string (  )  ;  if  ( new connection string  !  =  null )   {  handle new connection string ( new connection string )  ;   }   }  return is connected ;   }  "
C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\ConnectionState.java,check timeouts,"private synchronized void   (  )  throws  exception  {  final  atomic reference <  string >  new connection string = new  atomic reference <  >  (  )  ;   callable <  string >  has new connection string = new  callable <  string >  (  )  {  @ override public  string call (  )  {  new connection string . set ( zoo keeper . get new connection string (  )  )  ;  return new connection string . get (  )  ;   }   }   ;  int last negotiated session timeout ms = get last negotiated session timeout ms (  )  ;  int use session timeout ms =  ( last negotiated session timeout ms  >  0 )   ?  last negotiated session timeout ms : session timeout ms ;   connection handling policy .  check timeouts result result = connection handling policy . check timeouts ( has new connection string connection start ms use session timeout ms connection timeout ms )  ;  switch  ( result )   {  default : case nop:  {  break ;   }  case new   connection   string:  {  handle new connection string ( new connection string . get (  )  )  ;  break ;   }  case reset   connection:  {  if  (  !  boolean . get boolean (  debug utils . property   dont   log   connection   issues )  )   {  long elapsed =  system . current time millis (  )   -  connection start ms ;  int max timeout =  math . max ( use session timeout ms connection timeout ms )  ;  log . warn (  string . format ( "" connection attempt unsuccessful after %d  ( greater than max timeout of %d )  .   resetting connection and trying again with a new connection . "" elapsed max timeout )  )  ;   }  reset (  )  ;  break ;   }  case connection   timeout:  {   keeper exception .  connection loss exception connection loss exception = new  curator connection loss exception (  )  ;  if  (  !  boolean . get boolean (  debug utils . property   dont   log   connection   issues )  )   {  long elapsed =  system . current time millis (  )   -  connection start ms ;  log . error (  string . format ( "" connection timed out for connection string  ( %s )  and timeout  ( %d )   /  elapsed  ( %d ) "" zoo keeper . get connection string (  )  connection timeout ms elapsed )  connection loss exception )  ;   }  new  event trace ( ""connections - timed - out"" tracer . get (  )  get session id (  )  )  . commit (  )  ;  throw connection loss exception ;   }  case session   timeout:  {  handle expired session (  )  ;  break ;   }   }   }  "
C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\ConnectionState.java,close,"@ override public void   (  )  throws io exception  {  log . debug ( "" closing"" )  ;   closeable utils . close quietly ( ensemble provider )  ;  try  {  zoo keeper . close and clear (  )  ;   }  catch  (   exception e )   {   thread utils . check interrup"
