ProjectName,methodName,methodBody
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java, abstract instance config,protected   (  data center info info )  {  this . info = info ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,getasg name,@ override public  string   (  )  {  return null ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get data center info,@ override public  data center info   (  )  {  return info ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get host info,"private static  pair <  string  string >    (  )  {   pair <  string  string >  pair ;  try  {   inet address local host =  inet address . get local host (  )  ;  pair = new  pair <  string  string >  ( local host . get host address (  )  local host . get host name (  )  )  ;   }  catch  (   unknown host exception e )   {  logger . error ( "" cannot get host info"" e )  ;  pair = new  pair <  string  string >  ( """" """" )  ;   }  return pair ;   }  "
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get host name,@ override public  string   ( boolean refresh )  {  return host info . second (  )  ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get ip address,@ override public  string   (  )  {  return host info . first (  )  ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get lease expiration duration in seconds,@ override public int   (  )  {  return lease   expiration   duration   seconds ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get lease renewal interval in seconds,@ override public int   (  )  {  return lease   renewal   interval   seconds ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get metadata map,@ override public  map <  string  string >    (  )  {  return null ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get name,@ override public  name   (  )  {  return  name .  my own ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get non secure port,@ override public int   (  )  {  return non   secure   port ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get secure port,@ override public int   (  )  {  return secure   port ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get secure port enabled,@ override public boolean   (  )  {  return secure   port   enabled ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get secure virtual host name,"@ override public  string   (  )  {  return  ( get host name ( false )   +  "":""  +  get secure port (  )  )  ;   }  "
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,get virtual host name,"@ override public  string   (  )  {  return  ( get host name ( false )   +  "":""  +  get non secure port (  )  )  ;   }  "
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,is instance enabled onit,@ override public boolean   (  )  {  return instance   enabled   on   init ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,is non secure port enabled,@ override public boolean   (  )  {  return non   secure   port   enabled ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java, amazon info,"public   ( @ json property ( ""name"" )   string name @ json property ( ""metadata"" )   map <  string  string >  metadata )  {  this . metadata = metadata ;   }  "
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java, builder,private   (  )  {  result = new  amazon info (  )  ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java, meta data key,  (  string name  string path )  {  this . name = name ;  this . path = path ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,add metadata,public  builder   (  meta data key key  string value )  {  result . metadata . put ( key . get name (  )  value )  ;  return this ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,auto build,"public  amazon info   (  string namespace )  {  if  ( config  =  =  null )   {  config = new  archaius1 amazon info config ( namespace )  ;   }  for  (   meta data key key :  meta data key . values (  )  )   {  int num of retries = config . get num retries (  )  ;  while  ( num of retries -  -   >  0 )   {  try  {   string mac = null ;  if  ( key  =  =   meta data key . vpc id )   {  mac = result . metadata . get (  meta data key . mac . get name (  )  )  ;   }  url url = key . geturl ( null mac )  ;   string value =  amazon info utils . read ec2 metadata url ( key url config . get connect timeout (  )  config . get read timeout (  )  )  ;  if  ( value  !  =  null )   {  result . metadata . put ( key . get name (  )  value )  ;   }  break ;   }  catch  (   throwable e )   {  if  ( config . should log amazon metadata errors (  )  )   {  logger . warn ( "" cannot get the value for the metadata key:  {  }   reason :"" key e )  ;   }  if  ( num of retries  >  =  0 )   {  try  {   thread . sleep ( sleep   time   ms )  ;   }  catch  (   interrupted exception e1 )   {   }  continue ;   }   }   }  if  ( key  =  =   meta data key . instance id && config . should fail fast on first load (  )  &&  ! result . metadata . contains key (  meta data key . instance id . get name (  )  )  )   {  logger . warn ( "" skipping the rest of  amazon info init as we were not able to load instance id after ""  +  ""the configured number of retries:  {  }   per fail fast configuration:  {  } "" config . get num retries (  )  config . should fail fast on first load (  )  )  ;  break ;   }   }  return result ;   }  "
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,build,public  amazon info   (  )  {  return result ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,equals,@ override public boolean   (  object o )  {  if  ( this  =  =  o )  return true ;  if  (  !  ( o instanceof  amazon info )  )  return false ;   amazon info that =  (  amazon info ) o ;  if  ( metadata  !  =  null  ?   ! metadata . equals ( that . metadat
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,get,public  string   (  meta data key key )  {  return metadata . get ( key . get name (  )  )  ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,get id,@ override @ json ignore public  string   (  )  {  return get (  meta data key . instance id )  ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,get metadata,"@ json property ( ""metadata"" )  public  map <  string  string >    (  )  {  return metadata ;   }  "
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,get name,@ override public  name   (  )  {  return  name .  amazon ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,geturl,public url   (  string prepend  string append )  throws  malformedurl exception  {  return new url ( aws   metadata   url  +  path  +  name )  ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,hash code,@ override public int   (  )  {  return metadata  !  =  null  ?  metadata . hash code (  )  : 0 ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,new builder,public static  builder   (  )  {  return new  builder (  )  ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,read,public  string   (  input stream input stream )  throws io exception  {   buffered reader br = new  buffered reader ( new  input stream reader ( input stream )  )  ;   string to return ;  try  {   string line = br . read line (  )  ;  to return = line ;  while  ( line  !  =  null )   {  line = br . read line (  )  ;   }  return to return ;   }  finally  {  br . close (  )  ;   }   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,set metadata,public void   (  map <  string  string >  metadata map )  {  this . metadata = metadata map ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,to string,"@ override public  string   (  )  {  return "" amazon info { ""  +  ""metadata = ""  +  metadata  +  ' } ' ;   }  "
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,with amazon info config,public  builder   (  amazon info config config )  {  this . config = config ;  return this ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\Archaius1AmazonInfoConfig.java, archaius amazon info config,"public   (  string namespace )  {  this . namespace = namespace . ends with ( "" . "" )   ?  namespace : namespace  +  "" . "" ;  this . config instance =  archaius1 utils . init config (  common constants . config   file   name )  ;   }  "
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\Archaius1AmazonInfoConfig.java,get connect timeout,@ override public int   (  )  {  return config instance . get int property ( namespace  +  connect   timeout   key  values . default   connect   timeout )  . get (  )  ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\Archaius1AmazonInfoConfig.java,get namespace,@ override public  string   (  )  {  return namespace ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\Archaius1AmazonInfoConfig.java,get num retries,@ override public int   (  )  {  return config instance . get int property ( namespace  +  num   retries   key  values . default   num   retries )  . get (  )  ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\Archaius1AmazonInfoConfig.java,get read timeout,@ override public int   (  )  {  return config instance . get int property ( namespace  +  read   timeout   key  values . default   read   timeout )  . get (  )  ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\Archaius1AmazonInfoConfig.java,should fail fast on first load,@ override public boolean   (  )  {  return config instance . get boolean property ( namespace  +  fail   fast   on   first   load   key true )  . get (  )  ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\Archaius1AmazonInfoConfig.java,should log amazon metadata errors,@ override public boolean   (  )  {  return config instance . get boolean property ( namespace  +  log   metadata   error   key false )  . get (  )  ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\Archaius1AmazonInfoConfig.java,should validate instance id,@ override public boolean   (  )  {  return config instance . get boolean property ( namespace  +  should   validate   instance   id   key true )  . get (  )  ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\CloudInstanceConfig.java, cloud instance config,  (  string namespace  amazon info config amazon info config  amazon info initial info boolean eager init )  {  super ( namespace )  ;  this . amazon info config = amazon info config ;  if  ( eager init )   {   refreshable amazon info provider .  fallback address provider fallback address provider = new  refreshable amazon info provider .  fallback address provider (  )  {  @ override public  string get fallback ip (  )  {  return  cloud instance config . super . get ip address (  )  ;   }  @ override public  string get fallback hostname (  )  {  return  cloud instance config . super . get host name ( false )  ;   }   }   ;  this . amazon info holder = new  refreshable amazon info provider ( amazon info config fallback address provider )  ;   }  else  {  this . amazon info holder = new  refreshable amazon info provider ( initial info amazon info config )  ;   }   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\CloudInstanceConfig.java,get data center info,@ override public  data center info   (  )  {  return amazon info holder . get (  )  ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\CloudInstanceConfig.java,get default address resolution order,@ override public  string[]   (  )  {   string[] order = super . get default address resolution order (  )  ;  return  ( order . length  =  =  0 )   ?  default   aws   address   resolution   order : order ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\CloudInstanceConfig.java,get fallback hostname,@ override public  string   (  )  {  return  cloud instance config . super . get host name ( false )  ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\CloudInstanceConfig.java,get fallback ip,@ override public  string   (  )  {  return  cloud instance config . super . get ip address (  )  ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\CloudInstanceConfig.java,get host name,@ override public  string   ( boolean refresh )  {  if  ( refresh )   {  amazon info holder . refresh (  )  ;   }  return amazon info holder . get (  )  . get (  meta data key . public hostname )  ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\CloudInstanceConfig.java,get ip address,@ override public  string   (  )  {   string ip addr = amazon info holder . get (  )  . get (  meta data key . local ipv4 )  ;  return ip addr  =  =  null  ?  super . get ip address (  )  : ip addr ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\CloudInstanceConfig.java,refresh amazon info,@ deprecated public synchronized void   (  )  {  amazon info holder . refresh (  )  ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\CloudInstanceConfig.java,resolve default address,@ override public  string   ( boolean refresh )  {   string result = get host name ( refresh )  ;  for  (   string name : get default address resolution order (  )  )   {  try  {   amazon info .  meta data key key =  amazon info .  meta data key . value o
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\CloudInstanceConfig.java,should update,@ deprecated static boolean   (  amazon info new info  amazon info old info )  {  return  refreshable amazon info provider . should update ( new info old info )  ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\ApplicationInfoManager.java, application info manager,@ deprecated public   (  eureka instance config config )  {  this ( config  (  optional args ) null )  ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\ApplicationInfoManager.java,get eureka instance config,public  eureka instance config   (  )  {  return config ;   }  
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\EurekaAccept.java,from string,public static  eureka accept   (  string name )  {  if  ( name  =  =  null || name . is empty (  )  )   {  return full ;   }  try  {  return  eureka accept . value of ( name . to lower case (  )  )  ;   }  catch  (   exception e )   {  return full ;   }   }  
