ProjectName,methodName,methodBody
C:\Users\User\Desktop\Thesis\fabric8\components\cxf-utils\src\main\java\io\fabric8\utils\cxf\ExceptionResponseMapper.java,from response,"override public  exception   (  response response )  {  try  {   object entity = response . get entity (  ) ;  string message = "" no message""; if  ( entity instanceof  input stream )   {   input stream input stream =  (  input stream ) entity; message =  i o helpers . read fully ( input stream ) ;  }  else if  ( "
C:\Users\User\Desktop\Thesis\fabric8\components\fabric8-agent\src\main\java\io\fabric8\agent\Agent.java,agentmain,public string args final  instrumentation instrumentation )  throws  exception  {   jvm agent . agentmain ( args instrumentation ) ;  apm agent . agentmain ( args instrumentation ) ;  }  
C:\Users\User\Desktop\Thesis\fabric8\components\fabric8-agent\src\main\java\io\fabric8\agent\Agent.java,premain,public string args  instrumentation instrumentation )  throws  exception  {   jvm agent . premain ( args instrumentation ) ;  apm agent . premain ( args instrumentation ) ;  }  
C:\Users\User\Desktop\Thesis\fabric8\components\cxf-utils\src\main\java\io\fabric8\utils\cxf\WebClients.java,configure authorization,public web client web client  string username  string authorization type  string authorization )  {   h t t p conduit conduit =  web client . get config ( web client )  . get http conduit (  ) ; if  (  strings . is not blank ( username )  )   {  conduit . get authorization (  )  . set user name ( username ) ;  }  if  (  strings . is not blank ( authorization type )  &&  strings . is not blank ( authorization )  )   {  conduit . get authorization (  )  . set user name ( username ) ; conduit . get authorization (  )  . set authorization type ( authorization type ) ; conduit . get authorization (  )  . set authorization ( authorization ) ;  }   }  
C:\Users\User\Desktop\Thesis\fabric8\components\fabric8-agent\src\main\java\io\fabric8\agent\AgentLauncher.java,load agent,"public string pid  string args )  throws  i o exception  {   virtual machine vm; try  {  vm =  virtual machine . attach ( pid ) ;  }  catch  (   attach not supported exception x )   {   i o exception ioe = new  i o exception ( x . get message (  )  ) ; ioe . init cause ( x ) ; throw ioe;  }  try  {   string agent =  agent launcher . class . get protection domain (  )  . get code source (  )  . get location (  )  . get path (  ) ;  system . err . println ( "" trying to load agent ""  +  agent ) ; vm . load agent ( agent args ) ;  system . out . println ( "" agent successfully loaded"" ) ;  }  catch  (   agent load exception x )   {   i o exception ioe = new  i o exception ( x . get message (  )  ) ; ioe . init cause ( x ) ; throw ioe;  }  catch  (   agent initialization exception x )   {   i o exception ioe = new  i o exception ( x . get message (  )  ) ; ioe . init cause ( x ) ; throw ioe;  }  finally  {  if  ( vm  !  =  null )   {  vm . detach (  ) ;  }   }   }  "
C:\Users\User\Desktop\Thesis\fabric8\components\fabric8-agent\src\main\java\io\fabric8\agent\AgentLauncher.java,main,"public string[] args )  {  if  ( args . length  >  0 )   {  try  {   system . err . println ( "" attaching  fabric8  agent to process: ""  +  args[0] ) ;  string options = """"; for  ( int i = 1; i  <  args . length; i +  +  )   {  options +  = args[i]; if  ( i  <   ( args . length  -  1 )  )   {  options +  = "" "";  }   }  load agent ( args[0] options ) ;  }  catch  (   throwable e )   {  e . print stack trace (  ) ;  }   }  else  {   system . err . println ( "" usage is ""  +   agent launcher . class . get name (  )   +  "" pid"" ) ;  }   }  "
C:\Users\User\Desktop\Thesis\fabric8\components\cxf-utils\src\main\java\io\fabric8\utils\cxf\WebClients.java,configure ca cert,"public web client web client  string ca cert data  file ca cert file )  {  try  {   key store trust store = create trust store ( ca cert data ca cert file ) ;  trust manager factory trust manager factory =  trust manager factory . get instance (  trust manager factory . get default algorithm (  )  ) ; trust manager factory . init ( trust store ) ;  trust manager[] trust managers = trust manager factory . get trust managers (  ) ;  h t t p conduit conduit =  web client . get config ( web client )  . get http conduit (  ) ;  t l s client parameters params = conduit . get tls client parameters (  ) ; if  ( params  =  =  null )   {  params = new  t l s client parameters (  ) ; conduit . set tls client parameters ( params ) ;  }   trust manager[] existing trust managers = params . get trust managers (  ) ; if  ( existing trust managers  !  =  null && existing trust managers . length  >  0 )   {   list <  trust manager >  list = new  array list <  >  (  ) ; list . add all (  arrays . as list ( existing trust managers )  ) ; list . add all (  arrays . as list ( trust managers )  ) ; trust managers = list . to array ( new  trust manager[list . size (  ) ] ) ;  }  params . set trust managers ( trust managers ) ;  }  catch  (   exception e )   {   l o g . error ( "" could not create trust manager for ""  +  ca cert file e ) ;  }   }  "
C:\Users\User\Desktop\Thesis\fabric8\components\cxf-utils\src\main\java\io\fabric8\utils\cxf\WebClients.java,configure client cert,"public web client web client  string client cert data  file client cert file  string client key data  file client key file  string client key algo char[] client key password )  {  try  {   key store key store = create key store ( client cert data client cert file client key data client key file client key algo client key password ) ;  key manager factory key manager factory =  key manager factory . get instance (  key manager factory . get default algorithm (  )  ) ; key manager factory . init ( key store client key password ) ;  key manager[] key managers = key manager factory . get key managers (  ) ;  h t t p conduit conduit =  web client . get config ( web client )  . get http conduit (  ) ;  t l s client parameters params = conduit . get tls client parameters (  ) ; if  ( params  =  =  null )   {  params = new  t l s client parameters (  ) ; conduit . set tls client parameters ( params ) ;  }   key manager[] existing key managers = params . get key managers (  ) ; if  ( existing key managers  !  =  null && existing key managers . length  >  0 )   {   list <  key manager >  list = new  array list <  >  (  ) ; list . add all (  arrays . as list ( existing key managers )  ) ; list . add all (  arrays . as list ( key managers )  ) ; key managers = list . to array ( new  key manager[list . size (  ) ] ) ;  }  params . set key managers ( key managers ) ;  }  catch  (   exception e )   {   l o g . error ( "" could not create key manager for ""  +  client cert file  +  ""  ( "" +  client key file +  "" ) "" e ) ;  }   }  "
C:\Users\User\Desktop\Thesis\fabric8\components\cxf-utils\src\main\java\io\fabric8\utils\cxf\WebClients.java,configure user and password,public web client web client  string username  string password )  {  if  (  strings . is not blank ( username )  &&  strings . is not blank ( password )  )   {   h t t p conduit conduit =  web client . get config ( web client )  . get http conduit (  ) ; conduit . get authorization (  )  . set user name ( username ) ; conduit . get authorization (  )  . set password ( password ) ;  }   }  
C:\Users\User\Desktop\Thesis\fabric8\components\cxf-utils\src\main\java\io\fabric8\utils\cxf\WebClients.java,create key store,"public key store   (  string client cert data  file client cert file  string client key data  file client key file  string client key algo char[] client key password )  throws  exception  {  try  (  input stream cert input stream = get input stream from data or file ( client cert data client cert file )  )  {   certificate factory cert factory =  certificate factory . get instance ( "" x509"" ) ;  x509 certificate cert =  (  x509 certificate ) cert factory . generate certificate ( cert input stream ) ;  input stream key input stream = get input stream from data or file ( client key data client key file ) ;  p e m reader reader = new  p e m reader ( key input stream ) ;  r s a private crt key spec key spec = new  p k c s1 encoded key spec ( reader . get der bytes (  )  )  . get key spec (  ) ;  key factory kf =  key factory . get instance ( client key algo ) ;  r s a private key priv key =  (  r s a private key ) kf . generate private ( key spec ) ;  key store key store =  key store . get instance ( "" j k s"" ) ; key store . load ( null client key password ) ;  string alias = cert . get subject x500 principal (  )  . get name (  ) ; key store . set key entry ( alias priv key client key password new  certificate[] { cert }  ) ; return key store;  }   }  "
