ProjectName,methodName,methodBody
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java, arguments,private   (  arguments that )  {  argument factories . add all ( that . argument factories )  ;  untyped null argument = that . untyped null argument ;   }  
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,create copy,@ override public  arguments   (  )  {  return new  arguments ( this )  ;   }  
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\AbstractArgumentFactory.java, abstract argument factory,"protected   ( int sql type )  {  this . sql type = sql type ;   type argument type = find generic parameter ( get class (  )   abstract argument factory . class )  . or else throw (  (  )   -  >  new  illegal state exception ( get class (  )  . get simple name (  )   +  "" must extend  abstract argument factory with a concrete t parameter"" )  )  ;  if  ( argument type instanceof  class )   {   class <  ?  >  argument class =  (  class <  ?  >  ) argument type ;  this . is instance =  ( type value )   -  >  argument class . is assignable from ( get erased type ( type )  )  || argument class . is instance ( value )  ;   }  else  {  this . is instance =  ( type value )   -  >  argument type . equals ( type )  ;   }   }  "
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,find for,public  optional <  argument >    (  type type  object value )  {  return argument factories . stream (  )  . flat map ( factory  -  >  to stream ( factory . build ( type value registry )  )  )  . find first (  )  ;   }  
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,get untyped null argument,public  argument   (  )  {  return untyped null argument ;   }  
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,register,public  arguments   (  argument factory factory )  {  argument factories . add ( 0 factory )  ;  return this ;   }  
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,set registry,@ override public void   (  config registry registry )  {  this . registry = registry ;   }  
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,set untyped null argument,"public void   (  argument untyped null argument )  {  if  ( untyped null argument  =  =  null )   {  throw new  illegal argument exception ( ""the  argument itself may not be null"" )  ;   }  this . untyped null argument = untyped null argument ;   }  "
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\CharacterStreamArgument.java, character stream argument,public   (  reader reader int length )  {  this . value = reader ;  this . length = length ;   }  
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\CharacterStreamArgument.java,apply,@ override public void   ( int position  prepared statement statement  statement context ctx )  throws sql exception  {  statement . set character stream ( position value length )  ;   }  
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\InputStreamArgument.java, input stream argument,public   (  input stream stream int length boolean ascii )  {  this . value = stream ;  this . length = length ;  this . ascii = ascii ;   }  
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\InputStreamArgument.java,apply,@ override public void   ( int position  prepared statement statement  statement context ctx )  throws sql exception  {  if  ( ascii )   {  if  ( value  !  =  null )   {  statement . set ascii stream ( position value length )  ;   }  else  {  statement . 
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\MapArguments.java, map arguments,public   (  map <  string  ?  >  args )  {  this . args = args ;   }  
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\JavaTimeZoneIdArgumentFactory.java, java time zone id argument factory,public   (  )  {  super (  types . varchar )  ;   }  
