ProjectName,methodName,methodBody
C:\Users\User\Desktop\Thesis\platform_packages_apps_email\emailcommon\src\com\android\emailcommon\Device.java,get consistent device id,"public static  string   (  context context )  {  final  string device id ;  try  {   telephony manager tm =  (  telephony manager ) context . get system service (  context . telephony   service )  ;  if  ( tm  =  =  null )   {  return null ;   }  device id = tm . get device id (  )  ;  if  ( device id  =  =  null )   {  return null ;   }   }  catch  (   exception e )   {   log utils . d (  logging . log   tag "" error in  telephony manager . get device id (  ) : ""  +  e . get message (  )  )  ;  return null ;   }  return  utility . get small hash ( device id )  ;   }  "
C:\Users\User\Desktop\Thesis\platform_packages_apps_email\emailcommon\src\com\android\emailcommon\Device.java,get device id,static public synchronized  string   (  context context )  throws io exception  {  if  ( s device id  =  =  null )   {  s device id = get device id internal ( context )  ;   }  return s device id ;   }  
C:\Users\User\Desktop\Thesis\platform_packages_apps_email\emailcommon\src\com\android\emailcommon\Device.java,get device id internal,"static private  string   (  context context )  throws io exception  {  if  ( context  =  =  null )   {  throw new  illegal state exception ( ""get device id requires a  context"" )  ;   }   file f = context . get file stream path ( ""device name"" )  ;   buffered reader rdr = null ;   string id ;  if  ( f . exists (  )  )   {  if  ( f . can read (  )  )   {  rdr = new  buffered reader ( new  file reader ( f )  128 )  ;  id = rdr . read line (  )  ;  rdr . close (  )  ;  if  ( id  =  =  null )   {  if  (  ! f . delete (  )  )   {   log utils . e (  logging . log   tag "" can't delete null device name file ;  try overwrite . "" )  ;   }   }  else  {  return id ;   }   }  else  {   log utils . w (  logging . log   tag f . get absolute path (  )   +  "":  file exists  but can't read ? ""  +  ""  trying to remove . "" )  ;  if  (  ! f . delete (  )  )   {   log utils . w (  logging . log   tag "" remove failed .   tring to overwrite . "" )  ;   }   }   }   buffered writer w = new  buffered writer ( new  file writer ( f )  128 )  ;  final  string consistent device id = get consistent device id ( context )  ;  if  ( consistent device id  !  =  null )   {  id = ""androidc""  +  consistent device id ;   }  else  {  id = ""android""  +   system . current time millis (  )  ;   }  w . write ( id )  ;  w . close (  )  ;  return id ;   }  "
C:\Users\User\Desktop\Thesis\platform_packages_apps_email\emailcommon\src\com\android\emailcommon\internet\Rfc822Output.java,build body text,static  string[]   (  body body boolean use smart reply )  {  if  ( body  =  =  null )   {  return new  string[2] ;   }  final  string[] message body = new  string[] { body . m text content body . m html content }  ;  final int pos = body . m quoted text start pos ;  if  ( use smart reply && pos  >  0 )   {  if  ( message body[0]  !  =  null )   {  if  ( pos  <  message body[0] . length (  )  )   {  message body[0] = message body[0] . substring ( 0 pos )  ;   }   }  else if  ( message body[1]  !  =  null )   {  if  ( pos  <  message body[1] . length (  )  )   {  message body[1] = message body[1] . substring ( 0 pos )  ;   }   }   }  return message body ;   }  
C:\Users\User\Desktop\Thesis\platform_packages_apps_email\emailcommon\src\com\android\emailcommon\internet\Rfc822Output.java,get html body,static  string   (  string html )  {  final  matcher match = body   pattern . matcher ( html )  ;  if  ( match . find (  )  )   {  return match . group ( body   pattern   group )  ;   }  else  {  return html ;   }   }  
C:\Users\User\Desktop\Thesis\platform_packages_apps_email\emailcommon\src\com\android\emailcommon\internet\Rfc822Output.java,get next boundary,"static  string   (  )  {  final  string builder boundary = new  string builder (  )  ;  boundary . append ( "" -  -    com . android . email   "" )  . append (  system . nano time (  )  )  ;  synchronized  (  rfc822 output . class )   {  boundary . append ( s boundary digit )  ;  s boundary digit =  ( byte )  (  ( s boundary digit  +  1 )  % 10 )  ;   }  return boundary . to string (  )  ;   }  "
C:\Users\User\Desktop\Thesis\platform_packages_apps_email\emailcommon\src\com\android\emailcommon\internet\Rfc822Output.java,write address header,"private static void   (  writer writer  string name  string value )  throws io exception  {  if  ( value  !  =  null && value . length (  )   >  0 )   {  writer . append ( name )  ;  writer . append ( "": "" )  ;  writer . append (  mime utility . fold (  address . reformat to header ( value )  name . length (  )   +  2 )  )  ;  writer . append ( ""\r\n"" )  ;   }   }  "
C:\Users\User\Desktop\Thesis\platform_packages_apps_email\emailcommon\src\com\android\emailcommon\internet\Rfc822Output.java,write boundary,"private static void   (  writer writer  string boundary boolean end )  throws io exception  {  writer . append ( "" -  - "" )  ;  writer . append ( boundary )  ;  if  ( end )   {  writer . append ( "" -  - "" )  ;   }  writer . append ( ""\r\n"" )  ;   }  "
C:\Users\User\Desktop\Thesis\platform_packages_apps_email\emailcommon\src\com\android\emailcommon\internet\Rfc822Output.java,write encoded header,"private static void   (  writer writer  string name  string value )  throws io exception  {  if  ( value  !  =  null && value . length (  )   >  0 )   {  writer . append ( name )  ;  writer . append ( "": "" )  ;  writer . append (  mime utility . fold and encode2 ( value name . length (  )   +  2 )  )  ;  writer . append ( ""\r\n"" )  ;   }   }  "
C:\Users\User\Desktop\Thesis\platform_packages_apps_email\emailcommon\src\com\android\emailcommon\internet\Rfc822Output.java,write header,"private static void   (  writer writer  string name  string value )  throws io exception  {  if  ( value  !  =  null && value . length (  )   >  0 )   {  writer . append ( name )  ;  writer . append ( "": "" )  ;  writer . append ( value )  ;  writer . append ( ""\r\n"" )  ;   }   }  "
