ProjectName,methodName,methodBody
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\AbstractCommand.java,available commands,@ override public  command[]   (  )  {  return empty   command   array ;   }  
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\AbstractCommandList.java,perform,"@ override public  command result   (  string[] arguments )  {  final  string builder message = new  string builder ( "" available commands: \r\n"" )  ;  for  (   command available command : available commands (  )  )   {  message . append ( available comma"
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\distributed\CacheKeyEncoder.java,get command description,"@ override public  string   (  )  {  return "" encodes a cache key into a representation that the distributed datastore can address . "" ;   }  "
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\distributed\CacheKeyEncoder.java,get command token,"@ override public  string   (  )  {  return ""encode - key"" ;   }  "
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\distributed\CacheKeyEncoder.java,perform,"@ override public  command result   (  string[] arguments )  {  if  ( arguments . length  !  =  1 )   {  return new  invalid arguments ( "" the cache key encoder expects one  string argument . "" )  ;   }  try  {  final byte[] hash bytes = md5 message diges"
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\AuthGroupsRemover.java,get command description,"@ override public  string   (  )  {  return "" removes a user's auth groups from the local datastore . "" ;   }  "
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\AuthGroupsRemover.java,get command token,"@ override public  string   (  )  {  return ""remove - groups"" ;   }  "
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\AuthGroupsRemover.java,perform,"@ override public  command result   (  string[] arguments )  {  if  ( arguments . length  !  =  arg   size )   {  return new  invalid arguments ( "" the groups remover expects three string arguments . "" )  ;   }   command result result ;  try  {  final  re"
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\distributed\DistributedDatastoreCommandList.java,available commands,@ override public  command[]   (  )  {  return new  command[] { new  cache key encoder (  )  }  ;   }  
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\distributed\DistributedDatastoreCommandList.java,get command description,"@ override public  string   (  )  {  return "" commands related to managing the distributed datastore component"" ;   }  "
