,ProjectName,methodName,methodBody,methodBodyLength,TotalMN,Prefix,Rank,AllOccurrance
0,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java, arguments,private   (  arguments that )  {  argument factories . add all ( that . argument factories )  ;  untyped null argument = that . untyped null argument ;   }  ,29,1,arguments,1,[3]
1,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,create copy,@ override public  arguments   (  )  {  return new  arguments ( this )  ;   }  ,15,2,create,1,[]
2,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,create copy,@ override public  arguments   (  )  {  return new  arguments ( this )  ;   }  ,15,2,copy,2,[]
3,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\AbstractArgumentFactory.java, abstract argument factory,"protected   ( int sql type )  {  this . sql type = sql type ;   type argument type = find generic parameter ( get class (  )   abstract argument factory . class )  . or else throw (  (  )   -  >  new  illegal state exception ( get class (  )  . get simple name (  )   +  "" must extend  abstract argument factory with a concrete t parameter"" )  )  ;  if  ( argument type instanceof  class )   {   class <  ?  >  argument class =  (  class <  ?  >  ) argument type ;  this . is instance =  ( type value )   -  >  argument class . is assignable from ( get erased type ( type )  )  || argument class . is instance ( value )  ;   }  else  {  this . is instance =  ( type value )   -  >  argument type . equals ( type )  ;   }   }  ",155,3,abstract,1,"[28, 62]"
4,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\AbstractArgumentFactory.java, abstract argument factory,"protected   ( int sql type )  {  this . sql type = sql type ;   type argument type = find generic parameter ( get class (  )   abstract argument factory . class )  . or else throw (  (  )   -  >  new  illegal state exception ( get class (  )  . get simple name (  )   +  "" must extend  abstract argument factory with a concrete t parameter"" )  )  ;  if  ( argument type instanceof  class )   {   class <  ?  >  argument class =  (  class <  ?  >  ) argument type ;  this . is instance =  ( type value )   -  >  argument class . is assignable from ( get erased type ( type )  )  || argument class . is instance ( value )  ;   }  else  {  this . is instance =  ( type value )   -  >  argument type . equals ( type )  ;   }   }  ",155,3,argument,2,"[17, 29, 63, 75, 85, 94, 108, 123, 146]"
5,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\AbstractArgumentFactory.java, abstract argument factory,"protected   ( int sql type )  {  this . sql type = sql type ;   type argument type = find generic parameter ( get class (  )   abstract argument factory . class )  . or else throw (  (  )   -  >  new  illegal state exception ( get class (  )  . get simple name (  )   +  "" must extend  abstract argument factory with a concrete t parameter"" )  )  ;  if  ( argument type instanceof  class )   {   class <  ?  >  argument class =  (  class <  ?  >  ) argument type ;  this . is instance =  ( type value )   -  >  argument class . is assignable from ( get erased type ( type )  )  || argument class . is instance ( value )  ;   }  else  {  this . is instance =  ( type value )   -  >  argument type . equals ( type )  ;   }   }  ",155,3,factory,3,"[30, 64]"
6,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,find for,public  optional <  argument >    (  type type  object value )  {  return argument factories . stream (  )  . flat map ( factory  -  >  to stream ( factory . build ( type value registry )  )  )  . find first (  )  ;   }  ,46,2,find,1,[41]
7,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,find for,public  optional <  argument >    (  type type  object value )  {  return argument factories . stream (  )  . flat map ( factory  -  >  to stream ( factory . build ( type value registry )  )  )  . find first (  )  ;   }  ,46,2,for,2,[]
8,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,get untyped null argument,public  argument   (  )  {  return untyped null argument ;   }  ,11,4,get,1,[]
9,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,get untyped null argument,public  argument   (  )  {  return untyped null argument ;   }  ,11,4,untyped,2,[7]
10,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,get untyped null argument,public  argument   (  )  {  return untyped null argument ;   }  ,11,4,null,3,[8]
11,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,get untyped null argument,public  argument   (  )  {  return untyped null argument ;   }  ,11,4,argument,4,"[2, 9]"
12,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,register,public  arguments   (  argument factory factory )  {  argument factories . add ( 0 factory )  ;  return this ;   }  ,21,1,register,1,[]
13,C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,set registry,@ override public void   (  config registry registry )  {  this . registry = registry ;   }  ,17,2,set,1,[]
