,ProjectName,methodName,methodBody,methodBodyLength,TotalMN,Prefix,Rank,AllOccurrance
0,C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\AbstractCommand.java,available commands,@ override public  command[]   (  )  {  return empty   command   array ;   }  ,13,2,available,1,[]
1,C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\AbstractCommand.java,available commands,@ override public  command[]   (  )  {  return empty   command   array ;   }  ,13,2,commands,2,[]
2,C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\AbstractCommandList.java,perform,"@ override public  command result   (  string[] arguments )  {  final  string builder message = new  string builder ( "" available commands: \r\n"" )  ;  for  (   command available command : available commands (  )  )   {  message . append ( available comma",43,1,perform,1,[]
3,C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\distributed\CacheKeyEncoder.java,get command description,"@ override public  string   (  )  {  return "" encodes a cache key into a representation that the distributed datastore can address . "" ;   }  ",26,3,get,1,[]
4,C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\distributed\CacheKeyEncoder.java,get command description,"@ override public  string   (  )  {  return "" encodes a cache key into a representation that the distributed datastore can address . "" ;   }  ",26,3,command,2,[]
5,C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\distributed\CacheKeyEncoder.java,get command description,"@ override public  string   (  )  {  return "" encodes a cache key into a representation that the distributed datastore can address . "" ;   }  ",26,3,description,3,[]
6,C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\distributed\CacheKeyEncoder.java,get command token,"@ override public  string   (  )  {  return ""encode - key"" ;   }  ",13,3,get,1,[]
7,C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\distributed\CacheKeyEncoder.java,get command token,"@ override public  string   (  )  {  return ""encode - key"" ;   }  ",13,3,command,2,[]
8,C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\distributed\CacheKeyEncoder.java,get command token,"@ override public  string   (  )  {  return ""encode - key"" ;   }  ",13,3,token,3,[]
9,C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\distributed\CacheKeyEncoder.java,perform,"@ override public  command result   (  string[] arguments )  {  if  ( arguments . length  !  =  1 )   {  return new  invalid arguments ( "" the cache key encoder expects one  string argument . "" )  ;   }  try  {  final byte[] hash bytes = md5 message diges",49,1,perform,1,[]
10,C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\AuthGroupsRemover.java,get command description,"@ override public  string   (  )  {  return "" removes a user's auth groups from the local datastore . "" ;   }  ",22,3,get,1,[]
11,C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\AuthGroupsRemover.java,get command description,"@ override public  string   (  )  {  return "" removes a user's auth groups from the local datastore . "" ;   }  ",22,3,command,2,[]
