ProjectName,methodName,methodBody
C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AsyncSupportServiceProcessor.java,handle,@Override public void  (AtmosphereFramework framework Class<AsyncSupport> annotatedClass){ try { framework.setAsyncSupport(new DefaultAsyncSupportResolver(framework.getAtmosphereConfig()).newCometSupport(annotatedClass.getName())); } catch ( Throwable e) 
C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AsyncSupportListenerServiceProcessor.java,handle,"@Override public void  (AtmosphereFramework framework Class<AsyncSupportListener> annotatedClass){ try { framework.asyncSupportListener(framework.newClassInstance(AsyncSupportListener.class annotatedClass)); } catch ( Throwable e) { logger.warn("""" e); } }"
C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AnnotationUtil.java,atmosphereConfig,"public static void  (String[] m AtmosphereFramework framework){ for ( String s : m) { String[] nv=s.split(""=""); framework.addInitParameter(nv[0] nv[1]); framework.reconfigureInitParams(true); } } "
C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AnnotationUtil.java,broadcaster,public static Broadcaster  (AtmosphereFramework framework Class<? extends Broadcaster> broadcaster String path) throws Exception { return framework.getBroadcasterFactory().lookup(broadcasterClass(framework broadcaster) path true); } 
C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AnnotationUtil.java,broadcasterClass,public static Class<? extends Broadcaster>  (AtmosphereFramework framework Class<? extends Broadcaster> broadcaster) throws Exception { if (framework.isBroadcasterSpecified()) { try { broadcaster=(Class<? extends Broadcaster>)framework.getClass().getClassLoader().loadClass(framework.getDefaultBroadcasterClassName()); } catch ( ClassNotFoundException ex) { broadcaster=(Class<? extends Broadcaster>)Thread.currentThread().getContextClassLoader().loadClass(framework.getDefaultBroadcasterClassName()); } } return broadcaster; } 
C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AnnotationUtil.java,checkDefault,public static boolean  (Class<? extends AtmosphereInterceptor> i){ return !MANAGED_ATMOSPHERE_INTERCEPTORS.contains(i) && !AtmosphereFramework.DEFAULT_ATMOSPHERE_INTERCEPTORS.contains(i); } 
C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AnnotationUtil.java,defaultManagedServiceInterceptors,public static void  (AtmosphereFramework framework List<AtmosphereInterceptor> l){ interceptorsForManagedService(framework MANAGED_ATMOSPHERE_INTERCEPTORS l false); } 
C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AnnotationUtil.java,filters,public static void  (Class<? extends BroadcastFilter>[] bf AtmosphereFramework framework) throws IllegalAccessException  InstantiationException { for ( Class<? extends BroadcastFilter> b : bf) { framework.broadcasterFilters(framework.newClassInstance(BroadcastFilter.class b)); } } 
C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AnnotationUtil.java,inspect,@Override public Action  (AtmosphereResource r){ if (!r.isSuspended()) { for ( Class<? extends AtmosphereResourceEventListener> l : listeners) { try { r.addEventListener(framework.newClassInstance(AtmosphereResourceEventListener.class l)); } catch ( Throw
C:\Users\User\Desktop\Thesis\atmosphere\modules\runtime\src\main\java\org\atmosphere\annotation\AnnotationUtil.java,interceptors,"public static void  (Class<? extends AtmosphereInterceptor>[] interceptors AtmosphereFramework framework){ for ( Class<? extends AtmosphereInterceptor> i : interceptors) { try { framework.interceptor(framework.newClassInstance(AtmosphereInterceptor.class i)); } catch ( Throwable e) { logger.warn("""" e); } } } "
