ProjectName,methodName,methodBody
C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java,StandardConnectionHandlingPolicy,"public  (int expirationPercent){ Preconditions.checkArgument((expirationPercent > 0) && (expirationPercent <= 100) ""expirationPercent must be > 0 and <= 100""); this.expirationPercent=expirationPercent; } "
C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java,callWithRetry,@Override public <T>T  (CuratorZookeeperClient client Callable<T> proc) throws Exception { client.internalBlockUntilConnectedOrTimedOut(); T result=null; RetryLoop retryLoop=client.newRetryLoop(); while (retryLoop.shouldContinue()) { try { result=proc.cal
C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java,checkTimeouts,@Override public CheckTimeoutsResult  (Callable<String> hasNewConnectionString long connectionStartMs int sessionTimeoutMs int connectionTimeoutMs) throws Exception { if (hasNewConnectionString.call() != null) { return CheckTimeoutsResult.NEW_CONNECTION_S
C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\connection\StandardConnectionHandlingPolicy.java,getSimulatedSessionExpirationPercent,@Override public int  (){ return expirationPercent; } 
C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\ConnectionState.java,ConnectionState, (ZookeeperFactory zookeeperFactory EnsembleProvider ensembleProvider int sessionTimeoutMs int connectionTimeoutMs Watcher parentWatcher AtomicReference<TracerDriver> tracer boolean canBeReadOnly ConnectionHandlingPolicy connectionHandlingPolicy){ this.ensembleProvider=ensembleProvider; this.sessionTimeoutMs=sessionTimeoutMs; this.connectionTimeoutMs=connectionTimeoutMs; this.tracer=tracer; this.connectionHandlingPolicy=connectionHandlingPolicy; if (parentWatcher != null) { parentWatchers.offer(parentWatcher); } zooKeeper=new HandleHolder(zookeeperFactory this ensembleProvider sessionTimeoutMs canBeReadOnly); } 
C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\ConnectionState.java,addParentWatcher,void  (Watcher watcher){ parentWatchers.offer(watcher); } 
C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\ConnectionState.java,call,@Override public String  (){ newConnectionString.set(zooKeeper.getNewConnectionString()); return newConnectionString.get(); } 
C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\ConnectionState.java,checkState,"private boolean  (Event.KeeperState state boolean wasConnected){ boolean isConnected=wasConnected; boolean checkNewConnectionString=true; switch (state) { default : case Disconnected: { isConnected=false; break; } case SyncConnected: case ConnectedReadOnly: { isConnected=true; break; } case AuthFailed: { isConnected=false; log.error(""Authentication failed""); break; } case Expired: { isConnected=false; checkNewConnectionString=false; handleExpiredSession(); break; } case SaslAuthenticated: { break; } } if (state != Event.KeeperState.Expired) { new EventTrace(state.toString() tracer.get() getSessionId()).commit(); } if (checkNewConnectionString) { String newConnectionString=zooKeeper.getNewConnectionString(); if (newConnectionString != null) { handleNewConnectionString(newConnectionString); } } return isConnected; } "
C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\ConnectionState.java,checkTimeouts,"private synchronized void  () throws Exception { final AtomicReference<String> newConnectionString=new AtomicReference<>(); Callable<String> hasNewConnectionString=new Callable<String>(){ @Override public String call(){ newConnectionString.set(zooKeeper.getNewConnectionString()); return newConnectionString.get(); } } ; int lastNegotiatedSessionTimeoutMs=getLastNegotiatedSessionTimeoutMs(); int useSessionTimeoutMs=(lastNegotiatedSessionTimeoutMs > 0) ? lastNegotiatedSessionTimeoutMs : sessionTimeoutMs; ConnectionHandlingPolicy.CheckTimeoutsResult result=connectionHandlingPolicy.checkTimeouts(hasNewConnectionString connectionStartMs useSessionTimeoutMs connectionTimeoutMs); switch (result) { default : case NOP: { break; } case NEW_CONNECTION_STRING: { handleNewConnectionString(newConnectionString.get()); break; } case RESET_CONNECTION: { if (!Boolean.getBoolean(DebugUtils.PROPERTY_DONT_LOG_CONNECTION_ISSUES)) { long elapsed=System.currentTimeMillis() - connectionStartMs; int maxTimeout=Math.max(useSessionTimeoutMs connectionTimeoutMs); log.warn(String.format(""Connection attempt unsuccessful after %d (greater than max timeout of %d). Resetting connection and trying again with a new connection."" elapsed maxTimeout)); } reset(); break; } case CONNECTION_TIMEOUT: { KeeperException.ConnectionLossException connectionLossException=new CuratorConnectionLossException(); if (!Boolean.getBoolean(DebugUtils.PROPERTY_DONT_LOG_CONNECTION_ISSUES)) { long elapsed=System.currentTimeMillis() - connectionStartMs; log.error(String.format(""Connection timed out for connection string (%s) and timeout (%d) / elapsed (%d)"" zooKeeper.getConnectionString() connectionTimeoutMs elapsed) connectionLossException); } new EventTrace(""connections-timed-out"" tracer.get() getSessionId()).commit(); throw connectionLossException; } case SESSION_TIMEOUT: { handleExpiredSession(); break; } } } "
C:\Users\User\Desktop\Thesis\curator\curator-client\src\main\java\org\apache\curator\ConnectionState.java,close,"@Override public void  () throws IOException { log.debug(""Closing""); CloseableUtils.closeQuietly(ensembleProvider); try { zooKeeper.closeAndClear(); } catch ( Exception e) { ThreadUtils.checkInterrupted(e); throw new IOException(e); } finally { isConnecte"
