ProjectName,methodName,methodBody
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,AbstractInstanceConfig,protected  (DataCenterInfo info){ this.info=info; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,getASGName,@Override public String  (){ return null; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,getDataCenterInfo,@Override public DataCenterInfo  (){ return info; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,getHostInfo,"private static Pair<String String>  (){ Pair<String String> pair; try { InetAddress localHost=InetAddress.getLocalHost(); pair=new Pair<String String>(localHost.getHostAddress() localHost.getHostName()); } catch ( UnknownHostException e) { logger.error(""Cannot get host info"" e); pair=new Pair<String String>("""" """"); } return pair; } "
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,getHostName,@Override public String  (boolean refresh){ return hostInfo.second(); } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,getIpAddress,@Override public String  (){ return hostInfo.first(); } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,getLeaseExpirationDurationInSeconds,@Override public int  (){ return LEASE_EXPIRATION_DURATION_SECONDS; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,getLeaseRenewalIntervalInSeconds,@Override public int  (){ return LEASE_RENEWAL_INTERVAL_SECONDS; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,getMetadataMap,@Override public Map<String String>  (){ return null; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,getName,@Override public Name  (){ return Name.MyOwn; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,getNonSecurePort,@Override public int  (){ return NON_SECURE_PORT; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,getSecurePort,@Override public int  (){ return SECURE_PORT; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,getSecurePortEnabled,@Override public boolean  (){ return SECURE_PORT_ENABLED; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,getSecureVirtualHostName,"@Override public String  (){ return (getHostName(false) + "":"" + getSecurePort()); } "
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,getVirtualHostName,"@Override public String  (){ return (getHostName(false) + "":"" + getNonSecurePort()); } "
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,isInstanceEnabledOnit,@Override public boolean  (){ return INSTANCE_ENABLED_ON_INIT; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AbstractInstanceConfig.java,isNonSecurePortEnabled,@Override public boolean  (){ return NON_SECURE_PORT_ENABLED; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,AmazonInfo,"public  (@JsonProperty(""name"") String name @JsonProperty(""metadata"") Map<String String> metadata){ this.metadata=metadata; } "
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,Builder,private  (){ result=new AmazonInfo(); } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,MetaDataKey, (String name String path){ this.name=name; this.path=path; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,addMetadata,public Builder  (MetaDataKey key String value){ result.metadata.put(key.getName() value); return this; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,autoBuild,"public AmazonInfo  (String namespace){ if (config == null) { config=new Archaius1AmazonInfoConfig(namespace); } for ( MetaDataKey key : MetaDataKey.values()) { int numOfRetries=config.getNumRetries(); while (numOfRetries-- > 0) { try { String mac=null; if (key == MetaDataKey.vpcId) { mac=result.metadata.get(MetaDataKey.mac.getName()); } URL url=key.getURL(null mac); String value=AmazonInfoUtils.readEc2MetadataUrl(key url config.getConnectTimeout() config.getReadTimeout()); if (value != null) { result.metadata.put(key.getName() value); } break; } catch ( Throwable e) { if (config.shouldLogAmazonMetadataErrors()) { logger.warn(""Cannot get the value for the metadata key: {} Reason :"" key e); } if (numOfRetries >= 0) { try { Thread.sleep(SLEEP_TIME_MS); } catch ( InterruptedException e1) { } continue; } } } if (key == MetaDataKey.instanceId && config.shouldFailFastOnFirstLoad() && !result.metadata.containsKey(MetaDataKey.instanceId.getName())) { logger.warn(""Skipping the rest of AmazonInfo init as we were not able to load instanceId after "" + ""the configured number of retries: {}  per fail fast configuration: {}"" config.getNumRetries() config.shouldFailFastOnFirstLoad()); break; } } return result; } "
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,build,public AmazonInfo  (){ return result; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,equals,@Override public boolean  (Object o){ if (this == o) return true; if (!(o instanceof AmazonInfo)) return false; AmazonInfo that=(AmazonInfo)o; if (metadata != null ? !metadata.equals(that.metadata) : that.metadata != null) return false; return true; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,get,public String  (MetaDataKey key){ return metadata.get(key.getName()); } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,getId,@Override @JsonIgnore public String  (){ return get(MetaDataKey.instanceId); } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,getMetadata,"@JsonProperty(""metadata"") public Map<String String>  (){ return metadata; } "
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,getName,@Override public Name  (){ return Name.Amazon; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,getURL,public URL  (String prepend String append) throws MalformedURLException { return new URL(AWS_METADATA_URL + path + name); } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,hashCode,@Override public int  (){ return metadata != null ? metadata.hashCode() : 0; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,newBuilder,public static Builder  (){ return new Builder(); } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,read,public String  (InputStream inputStream) throws IOException { BufferedReader br=new BufferedReader(new InputStreamReader(inputStream)); String toReturn; try { String line=br.readLine(); toReturn=line; while (line != null) { line=br.readLine(); } return toReturn; } finally { br.close(); } } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,setMetadata,public void  (Map<String String> metadataMap){ this.metadata=metadataMap; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,toString,"@Override public String  (){ return ""AmazonInfo{"" + ""metadata="" + metadata + '}'; } "
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\AmazonInfo.java,withAmazonInfoConfig,public Builder  (AmazonInfoConfig config){ this.config=config; return this; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\Archaius1AmazonInfoConfig.java,Archaius1AmazonInfoConfig,"public  (String namespace){ this.namespace=namespace.endsWith(""."") ? namespace : namespace + "".""; this.configInstance=Archaius1Utils.initConfig(CommonConstants.CONFIG_FILE_NAME); } "
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\Archaius1AmazonInfoConfig.java,getConnectTimeout,@Override public int  (){ return configInstance.getIntProperty(namespace + CONNECT_TIMEOUT_KEY Values.DEFAULT_CONNECT_TIMEOUT).get(); } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\Archaius1AmazonInfoConfig.java,getNamespace,@Override public String  (){ return namespace; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\Archaius1AmazonInfoConfig.java,getNumRetries,@Override public int  (){ return configInstance.getIntProperty(namespace + NUM_RETRIES_KEY Values.DEFAULT_NUM_RETRIES).get(); } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\Archaius1AmazonInfoConfig.java,getReadTimeout,@Override public int  (){ return configInstance.getIntProperty(namespace + READ_TIMEOUT_KEY Values.DEFAULT_READ_TIMEOUT).get(); } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\Archaius1AmazonInfoConfig.java,shouldFailFastOnFirstLoad,@Override public boolean  (){ return configInstance.getBooleanProperty(namespace + FAIL_FAST_ON_FIRST_LOAD_KEY true).get(); } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\Archaius1AmazonInfoConfig.java,shouldLogAmazonMetadataErrors,@Override public boolean  (){ return configInstance.getBooleanProperty(namespace + LOG_METADATA_ERROR_KEY false).get(); } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\Archaius1AmazonInfoConfig.java,shouldValidateInstanceId,@Override public boolean  (){ return configInstance.getBooleanProperty(namespace + SHOULD_VALIDATE_INSTANCE_ID_KEY true).get(); } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\CloudInstanceConfig.java,CloudInstanceConfig, (String namespace AmazonInfoConfig amazonInfoConfig AmazonInfo initialInfo boolean eagerInit){ super(namespace); this.amazonInfoConfig=amazonInfoConfig; if (eagerInit) { RefreshableAmazonInfoProvider.FallbackAddressProvider fallbackAddressProvider=new RefreshableAmazonInfoProvider.FallbackAddressProvider(){ @Override public String getFallbackIp(){ return CloudInstanceConfig.super.getIpAddress(); } @Override public String getFallbackHostname(){ return CloudInstanceConfig.super.getHostName(false); } } ; this.amazonInfoHolder=new RefreshableAmazonInfoProvider(amazonInfoConfig fallbackAddressProvider); } else { this.amazonInfoHolder=new RefreshableAmazonInfoProvider(initialInfo amazonInfoConfig); } } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\CloudInstanceConfig.java,getDataCenterInfo,@Override public DataCenterInfo  (){ return amazonInfoHolder.get(); } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\CloudInstanceConfig.java,getDefaultAddressResolutionOrder,@Override public String[]  (){ String[] order=super.getDefaultAddressResolutionOrder(); return (order.length == 0) ? DEFAULT_AWS_ADDRESS_RESOLUTION_ORDER : order; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\CloudInstanceConfig.java,getFallbackHostname,@Override public String  (){ return CloudInstanceConfig.super.getHostName(false); } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\CloudInstanceConfig.java,getFallbackIp,@Override public String  (){ return CloudInstanceConfig.super.getIpAddress(); } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\CloudInstanceConfig.java,getHostName,@Override public String  (boolean refresh){ if (refresh) { amazonInfoHolder.refresh(); } return amazonInfoHolder.get().get(MetaDataKey.publicHostname); } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\CloudInstanceConfig.java,getIpAddress,@Override public String  (){ String ipAddr=amazonInfoHolder.get().get(MetaDataKey.localIpv4); return ipAddr == null ? super.getIpAddress() : ipAddr; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\CloudInstanceConfig.java,refreshAmazonInfo,@Deprecated public synchronized void  (){ amazonInfoHolder.refresh(); } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\CloudInstanceConfig.java,resolveDefaultAddress,@Override public String  (boolean refresh){ String result=getHostName(refresh); for ( String name : getDefaultAddressResolutionOrder()) { try { AmazonInfo.MetaDataKey key=AmazonInfo.MetaDataKey.valueOf(name); String address=amazonInfoHolder.get().get(key)
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\CloudInstanceConfig.java,shouldUpdate,@Deprecated static boolean  (AmazonInfo newInfo AmazonInfo oldInfo){ return RefreshableAmazonInfoProvider.shouldUpdate(newInfo oldInfo); } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\ApplicationInfoManager.java,ApplicationInfoManager,@Deprecated public  (EurekaInstanceConfig config){ this(config (OptionalArgs)null); } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\ApplicationInfoManager.java,getEurekaInstanceConfig,public EurekaInstanceConfig  (){ return config; } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\EurekaAccept.java,fromString,public static EurekaAccept  (String name){ if (name == null || name.isEmpty()) { return full; } try { return EurekaAccept.valueOf(name.toLowerCase()); } catch ( Exception e) { return full; } } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\EurekaAccept.java,getClientAccept,public static EurekaAccept  (DecoderWrapper decoderWrapper){ return decoderNameToAcceptMap.get(decoderWrapper.codecName()); } 
C:\Users\User\Desktop\Thesis\eureka\eureka-client\src\main\java\com\netflix\appinfo\EurekaClientIdentity.java,EurekaClientIdentity,public  (String id String clientName){ this.id=id; this.clientName=clientName; } 
