ProjectName,methodName,methodBody
C:\Users\User\Desktop\Thesis\fabric8\components\cxf-utils\src\main\java\io\fabric8\utils\cxf\ExceptionResponseMapper.java,fromResponse,"@Override public Exception  (Response response){ try { Object entity=response.getEntity(); String message=""No message""; if (entity instanceof InputStream) { InputStream inputStream=(InputStream)entity; message=IOHelpers.readFully(inputStream); } else if ("
C:\Users\User\Desktop\Thesis\fabric8\components\fabric8-agent\src\main\java\io\fabric8\agent\Agent.java,agentmain,public static void  (final String args final Instrumentation instrumentation) throws Exception { JvmAgent.agentmain(args instrumentation); ApmAgent.agentmain(args instrumentation); } 
C:\Users\User\Desktop\Thesis\fabric8\components\fabric8-agent\src\main\java\io\fabric8\agent\Agent.java,premain,public static void  (String args Instrumentation instrumentation) throws Exception { JvmAgent.premain(args instrumentation); ApmAgent.premain(args instrumentation); } 
C:\Users\User\Desktop\Thesis\fabric8\components\cxf-utils\src\main\java\io\fabric8\utils\cxf\WebClients.java,configureAuthorization,public static void  (WebClient webClient String username String authorizationType String authorization){ HTTPConduit conduit=WebClient.getConfig(webClient).getHttpConduit(); if (Strings.isNotBlank(username)) { conduit.getAuthorization().setUserName(username); } if (Strings.isNotBlank(authorizationType) && Strings.isNotBlank(authorization)) { conduit.getAuthorization().setUserName(username); conduit.getAuthorization().setAuthorizationType(authorizationType); conduit.getAuthorization().setAuthorization(authorization); } } 
C:\Users\User\Desktop\Thesis\fabric8\components\fabric8-agent\src\main\java\io\fabric8\agent\AgentLauncher.java,loadAgent,"public static void  (String pid String args) throws IOException { VirtualMachine vm; try { vm=VirtualMachine.attach(pid); } catch ( AttachNotSupportedException x) { IOException ioe=new IOException(x.getMessage()); ioe.initCause(x); throw ioe; } try { String agent=AgentLauncher.class.getProtectionDomain().getCodeSource().getLocation().getPath(); System.err.println(""Trying to load agent "" + agent); vm.loadAgent(agent args); System.out.println(""Agent successfully loaded""); } catch ( AgentLoadException x) { IOException ioe=new IOException(x.getMessage()); ioe.initCause(x); throw ioe; } catch ( AgentInitializationException x) { IOException ioe=new IOException(x.getMessage()); ioe.initCause(x); throw ioe; } finally { if (vm != null) { vm.detach(); } } } "
C:\Users\User\Desktop\Thesis\fabric8\components\fabric8-agent\src\main\java\io\fabric8\agent\AgentLauncher.java,main,"public static void  (String[] args){ if (args.length > 0) { try { System.err.println(""Attaching Fabric8 Agent to process: "" + args[0]); String options=""""; for (int i=1; i < args.length; i++) { options+=args[i]; if (i < (args.length - 1)) { options+="" ""; } } loadAgent(args[0] options); } catch ( Throwable e) { e.printStackTrace(); } } else { System.err.println(""Usage is "" + AgentLauncher.class.getName() + "" pid""); } } "
C:\Users\User\Desktop\Thesis\fabric8\components\cxf-utils\src\main\java\io\fabric8\utils\cxf\WebClients.java,configureCaCert,"public static void  (WebClient webClient String caCertData File caCertFile){ try { KeyStore trustStore=createTrustStore(caCertData caCertFile); TrustManagerFactory trustManagerFactory=TrustManagerFactory.getInstance(TrustManagerFactory.getDefaultAlgorithm()); trustManagerFactory.init(trustStore); TrustManager[] trustManagers=trustManagerFactory.getTrustManagers(); HTTPConduit conduit=WebClient.getConfig(webClient).getHttpConduit(); TLSClientParameters params=conduit.getTlsClientParameters(); if (params == null) { params=new TLSClientParameters(); conduit.setTlsClientParameters(params); } TrustManager[] existingTrustManagers=params.getTrustManagers(); if (existingTrustManagers != null && existingTrustManagers.length > 0) { List<TrustManager> list=new ArrayList<>(); list.addAll(Arrays.asList(existingTrustManagers)); list.addAll(Arrays.asList(trustManagers)); trustManagers=list.toArray(new TrustManager[list.size()]); } params.setTrustManagers(trustManagers); } catch ( Exception e) { LOG.error(""Could not create trust manager for "" + caCertFile e); } } "
C:\Users\User\Desktop\Thesis\fabric8\components\cxf-utils\src\main\java\io\fabric8\utils\cxf\WebClients.java,configureClientCert,"public static void  (WebClient webClient String clientCertData File clientCertFile String clientKeyData File clientKeyFile String clientKeyAlgo char[] clientKeyPassword){ try { KeyStore keyStore=createKeyStore(clientCertData clientCertFile clientKeyData clientKeyFile clientKeyAlgo clientKeyPassword); KeyManagerFactory keyManagerFactory=KeyManagerFactory.getInstance(KeyManagerFactory.getDefaultAlgorithm()); keyManagerFactory.init(keyStore clientKeyPassword); KeyManager[] keyManagers=keyManagerFactory.getKeyManagers(); HTTPConduit conduit=WebClient.getConfig(webClient).getHttpConduit(); TLSClientParameters params=conduit.getTlsClientParameters(); if (params == null) { params=new TLSClientParameters(); conduit.setTlsClientParameters(params); } KeyManager[] existingKeyManagers=params.getKeyManagers(); if (existingKeyManagers != null && existingKeyManagers.length > 0) { List<KeyManager> list=new ArrayList<>(); list.addAll(Arrays.asList(existingKeyManagers)); list.addAll(Arrays.asList(keyManagers)); keyManagers=list.toArray(new KeyManager[list.size()]); } params.setKeyManagers(keyManagers); } catch ( Exception e) { LOG.error(""Could not create key manager for "" + clientCertFile + "" (""+ clientKeyFile+ "")"" e); } } "
C:\Users\User\Desktop\Thesis\fabric8\components\cxf-utils\src\main\java\io\fabric8\utils\cxf\WebClients.java,configureUserAndPassword,public static void  (WebClient webClient String username String password){ if (Strings.isNotBlank(username) && Strings.isNotBlank(password)) { HTTPConduit conduit=WebClient.getConfig(webClient).getHttpConduit(); conduit.getAuthorization().setUserName(username); conduit.getAuthorization().setPassword(password); } } 
C:\Users\User\Desktop\Thesis\fabric8\components\cxf-utils\src\main\java\io\fabric8\utils\cxf\WebClients.java,createKeyStore,"public static KeyStore  (String clientCertData File clientCertFile String clientKeyData File clientKeyFile String clientKeyAlgo char[] clientKeyPassword) throws Exception { try (InputStream certInputStream=getInputStreamFromDataOrFile(clientCertData clientCertFile)){ CertificateFactory certFactory=CertificateFactory.getInstance(""X509""); X509Certificate cert=(X509Certificate)certFactory.generateCertificate(certInputStream); InputStream keyInputStream=getInputStreamFromDataOrFile(clientKeyData clientKeyFile); PEMReader reader=new PEMReader(keyInputStream); RSAPrivateCrtKeySpec keySpec=new PKCS1EncodedKeySpec(reader.getDerBytes()).getKeySpec(); KeyFactory kf=KeyFactory.getInstance(clientKeyAlgo); RSAPrivateKey privKey=(RSAPrivateKey)kf.generatePrivate(keySpec); KeyStore keyStore=KeyStore.getInstance(""JKS""); keyStore.load(null clientKeyPassword); String alias=cert.getSubjectX500Principal().getName(); keyStore.setKeyEntry(alias privKey clientKeyPassword new Certificate[]{cert}); return keyStore; } } "
