ProjectName,methodName,methodBody
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,Arguments,private  (Arguments that){ argumentFactories.addAll(that.argumentFactories); untypedNullArgument=that.untypedNullArgument; } 
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,createCopy,@Override public Arguments  (){ return new Arguments(this); } 
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\AbstractArgumentFactory.java,AbstractArgumentFactory,"protected  (int sqlType){ this.sqlType=sqlType; Type argumentType=findGenericParameter(getClass() AbstractArgumentFactory.class).orElseThrow(() -> new IllegalStateException(getClass().getSimpleName() + "" must extend AbstractArgumentFactory with a concrete T parameter"")); if (argumentType instanceof Class) { Class<?> argumentClass=(Class<?>)argumentType; this.isInstance=(type value) -> argumentClass.isAssignableFrom(getErasedType(type)) || argumentClass.isInstance(value); } else { this.isInstance=(type value) -> argumentType.equals(type); } } "
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,findFor,public Optional<Argument>  (Type type Object value){ return argumentFactories.stream().flatMap(factory -> toStream(factory.build(type value registry))).findFirst(); } 
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,getUntypedNullArgument,public Argument  (){ return untypedNullArgument; } 
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,register,public Arguments  (ArgumentFactory factory){ argumentFactories.add(0 factory); return this; } 
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,setRegistry,@Override public void  (ConfigRegistry registry){ this.registry=registry; } 
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\Arguments.java,setUntypedNullArgument,"public void  (Argument untypedNullArgument){ if (untypedNullArgument == null) { throw new IllegalArgumentException(""the Argument itself may not be null""); } this.untypedNullArgument=untypedNullArgument; } "
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\CharacterStreamArgument.java,CharacterStreamArgument,public  (Reader reader int length){ this.value=reader; this.length=length; } 
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\CharacterStreamArgument.java,apply,@Override public void  (int position PreparedStatement statement StatementContext ctx) throws SQLException { statement.setCharacterStream(position value length); } 
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\InputStreamArgument.java,InputStreamArgument,public  (InputStream stream int length boolean ascii){ this.value=stream; this.length=length; this.ascii=ascii; } 
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\InputStreamArgument.java,apply,@Override public void  (int position PreparedStatement statement StatementContext ctx) throws SQLException { if (ascii) { if (value != null) { statement.setAsciiStream(position value length); } else { statement.setNull(position Types.LONGVARCHAR); } } els
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\MapArguments.java,MapArguments,public  (Map<String ?> args){ this.args=args; } 
C:\Users\User\Desktop\Thesis\jdbi\core\src\main\java\org\jdbi\v3\core\argument\JavaTimeZoneIdArgumentFactory.java,JavaTimeZoneIdArgumentFactory,public  (){ super(Types.VARCHAR); } 
