ProjectName,methodName,methodBody
C:\Users\User\Desktop\Thesis\platform_packages_apps_email\emailcommon\src\com\android\emailcommon\Device.java,getConsistentDeviceId,"public static String  (Context context){ final String deviceId; try { TelephonyManager tm=(TelephonyManager)context.getSystemService(Context.TELEPHONY_SERVICE); if (tm == null) { return null; } deviceId=tm.getDeviceId(); if (deviceId == null) { return null; } } catch ( Exception e) { LogUtils.d(Logging.LOG_TAG ""Error in TelephonyManager.getDeviceId(): "" + e.getMessage()); return null; } return Utility.getSmallHash(deviceId); } "
C:\Users\User\Desktop\Thesis\platform_packages_apps_email\emailcommon\src\com\android\emailcommon\Device.java,getDeviceId,static public synchronized String  (Context context) throws IOException { if (sDeviceId == null) { sDeviceId=getDeviceIdInternal(context); } return sDeviceId; } 
C:\Users\User\Desktop\Thesis\platform_packages_apps_email\emailcommon\src\com\android\emailcommon\Device.java,getDeviceIdInternal,"static private String  (Context context) throws IOException { if (context == null) { throw new IllegalStateException(""getDeviceId requires a Context""); } File f=context.getFileStreamPath(""deviceName""); BufferedReader rdr=null; String id; if (f.exists()) { if (f.canRead()) { rdr=new BufferedReader(new FileReader(f) 128); id=rdr.readLine(); rdr.close(); if (id == null) { if (!f.delete()) { LogUtils.e(Logging.LOG_TAG ""Can't delete null deviceName file; try overwrite.""); } } else { return id; } } else { LogUtils.w(Logging.LOG_TAG f.getAbsolutePath() + "": File exists  but can't read?"" + "" Trying to remove.""); if (!f.delete()) { LogUtils.w(Logging.LOG_TAG ""Remove failed. Tring to overwrite.""); } } } BufferedWriter w=new BufferedWriter(new FileWriter(f) 128); final String consistentDeviceId=getConsistentDeviceId(context); if (consistentDeviceId != null) { id=""androidc"" + consistentDeviceId; } else { id=""android"" + System.currentTimeMillis(); } w.write(id); w.close(); return id; } "
C:\Users\User\Desktop\Thesis\platform_packages_apps_email\emailcommon\src\com\android\emailcommon\internet\Rfc822Output.java,buildBodyText,static String[]  (Body body boolean useSmartReply){ if (body == null) { return new String[2]; } final String[] messageBody=new String[]{body.mTextContent body.mHtmlContent}; final int pos=body.mQuotedTextStartPos; if (useSmartReply && pos > 0) { if (messageBody[0] != null) { if (pos < messageBody[0].length()) { messageBody[0]=messageBody[0].substring(0 pos); } } else if (messageBody[1] != null) { if (pos < messageBody[1].length()) { messageBody[1]=messageBody[1].substring(0 pos); } } } return messageBody; } 
C:\Users\User\Desktop\Thesis\platform_packages_apps_email\emailcommon\src\com\android\emailcommon\internet\Rfc822Output.java,getHtmlBody,static String  (String html){ final Matcher match=BODY_PATTERN.matcher(html); if (match.find()) { return match.group(BODY_PATTERN_GROUP); } else { return html; } } 
C:\Users\User\Desktop\Thesis\platform_packages_apps_email\emailcommon\src\com\android\emailcommon\internet\Rfc822Output.java,getNextBoundary,"static String  (){ final StringBuilder boundary=new StringBuilder(); boundary.append(""--_com.android.email_"").append(System.nanoTime()); synchronized (Rfc822Output.class) { boundary.append(sBoundaryDigit); sBoundaryDigit=(byte)((sBoundaryDigit + 1) % 10); } return boundary.toString(); } "
C:\Users\User\Desktop\Thesis\platform_packages_apps_email\emailcommon\src\com\android\emailcommon\internet\Rfc822Output.java,writeAddressHeader,"private static void  (Writer writer String name String value) throws IOException { if (value != null && value.length() > 0) { writer.append(name); writer.append("": ""); writer.append(MimeUtility.fold(Address.reformatToHeader(value) name.length() + 2)); writer.append(""\r\n""); } } "
C:\Users\User\Desktop\Thesis\platform_packages_apps_email\emailcommon\src\com\android\emailcommon\internet\Rfc822Output.java,writeBoundary,"private static void  (Writer writer String boundary boolean end) throws IOException { writer.append(""--""); writer.append(boundary); if (end) { writer.append(""--""); } writer.append(""\r\n""); } "
C:\Users\User\Desktop\Thesis\platform_packages_apps_email\emailcommon\src\com\android\emailcommon\internet\Rfc822Output.java,writeEncodedHeader,"private static void  (Writer writer String name String value) throws IOException { if (value != null && value.length() > 0) { writer.append(name); writer.append("": ""); writer.append(MimeUtility.foldAndEncode2(value name.length() + 2)); writer.append(""\r\n""); } } "
C:\Users\User\Desktop\Thesis\platform_packages_apps_email\emailcommon\src\com\android\emailcommon\internet\Rfc822Output.java,writeHeader,"private static void  (Writer writer String name String value) throws IOException { if (value != null && value.length() > 0) { writer.append(name); writer.append("": ""); writer.append(value); writer.append(""\r\n""); } } "
