ProjectName,methodName,methodBody
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\AbstractCommand.java,availableCommands,@Override public Command[]  (){ return EMPTY_COMMAND_ARRAY; } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\AbstractCommandList.java,perform,"@Override public CommandResult  (String[] arguments){ final StringBuilder message=new StringBuilder(""Available commands: \r\n""); for ( Command availableCommand : availableCommands()) { message.append(availableCommand.getCommandToken()); message.append(""\t"
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\distributed\CacheKeyEncoder.java,getCommandDescription,"@Override public String  (){ return ""Encodes a cache key into a representation that the distributed datastore can address.""; } "
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\distributed\CacheKeyEncoder.java,getCommandToken,"@Override public String  (){ return ""encode-key""; } "
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\distributed\CacheKeyEncoder.java,perform,"@Override public CommandResult  (String[] arguments){ if (arguments.length != 1) { return new InvalidArguments(""The cache key encoder expects one  string argument.""); } try { final byte[] hashBytes=MD5MessageDigestFactory.getInstance().newMessageDigest()."
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\AuthGroupsRemover.java,getCommandDescription,"@Override public String  (){ return ""Removes a user's auth groups from the local datastore.""; } "
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\AuthGroupsRemover.java,getCommandToken,"@Override public String  (){ return ""remove-groups""; } "
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\AuthGroupsRemover.java,perform,"@Override public CommandResult  (String[] arguments){ if (arguments.length != ARG_SIZE) { return new InvalidArguments(""The groups remover expects three string arguments.""); } CommandResult result; try { final ReposeLocalCacheMBean reposeLocalCacheMBeanPro"
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\distributed\DistributedDatastoreCommandList.java,availableCommands,@Override public Command[]  (){ return new Command[]{new CacheKeyEncoder()}; } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\distributed\DistributedDatastoreCommandList.java,getCommandDescription,"@Override public String  (){ return ""Commands related to managing the distributed datastore component""; } "
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\distributed\DistributedDatastoreCommandList.java,getCommandToken,"@Override public String  (){ return ""dist-datastore""; } "
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\LocalDatastoreCommandList.java,availableCommands,@Override public Command[]  (){ return new Command[]{new AuthTokenAndRolesRemover() new AuthGroupsRemover() new RateLimitsRemover()}; } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\LocalDatastoreCommandList.java,getCommandDescription,"@Override public String  (){ return ""Commands related to managing the local datastore""; } "
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\LocalDatastoreCommandList.java,getCommandToken,"@Override public String  (){ return ""local-datastore""; } "
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\AuthTokenAndRolesRemover.java,getCommandDescription,"@Override public String  (){ return ""Removes a user's auth token and roles from the local datastore.""; } "
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\AuthTokenAndRolesRemover.java,getCommandToken,"@Override public String  (){ return ""remove-token""; } "
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\AuthTokenAndRolesRemover.java,perform,"@Override public CommandResult  (String[] arguments){ if (arguments.length != ARGUMENTS_LENGTH) { return new InvalidArguments(""The token remover expects three string arguments.""); } CommandResult result; try { final ReposeLocalCacheMBean reposeLocalCacheM"
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\RateLimitsRemover.java,getCommandDescription,"@Override public String  (){ return ""Removes a user's rate limits from the local datastore.""; } "
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\RateLimitsRemover.java,getCommandToken,"@Override public String  (){ return ""remove-limits""; } "
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\RateLimitsRemover.java,perform,"@Override public CommandResult  (String[] arguments){ if (arguments.length != 2) { return new InvalidArguments(""The limits remover expects two string arguments.""); } CommandResult result; try { final ReposeLocalCacheMBean reposeLocalCacheMBeanProxy=new Re"
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\ReposeJMXClient.java,ReposeJMXClient,"public  (String port) throws IOException  MalformedObjectNameException { final String jmxRmiUrl=""service:jmx:rmi:///jndi/rmi://:"" + port + ""/jmxrmi""; final JMXServiceURL url=new JMXServiceURL(jmxRmiUrl); final JMXConnector jmxc=JMXConnectorFactory.connect(url null); final MBeanServerConnection reposeConnection=jmxc.getMBeanServerConnection(); reposeLocalCacheMBeanProxy=JMX.newMBeanProxy(reposeConnection new ObjectName(REPOSE_LOCAL_CACHE_OBJECT_NAME) ReposeLocalCacheMBean.class true); } "
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\ReposeJMXClient.java,removeAllCacheData,@Override public void  (){ reposeLocalCacheMBeanProxy.removeAllCacheData(); } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\ReposeJMXClient.java,removeGroups,@Override public boolean  (String tenantId String token){ return reposeLocalCacheMBeanProxy.removeGroups(tenantId token); } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\ReposeJMXClient.java,removeLimits,@Override public boolean  (String encodedUserId){ return reposeLocalCacheMBeanProxy.removeLimits(encodedUserId); } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\datastore\local\ReposeJMXClient.java,removeTokenAndRoles,@Override public boolean  (String tenantId String token){ return reposeLocalCacheMBeanProxy.removeTokenAndRoles(tenantId token); } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\results\InvalidArguments.java,InvalidArguments,public  (String message){ super(message); } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\results\InvalidArguments.java,getStatusCode,@Override public int  (){ return StatusCodes.INVALID_ARGUMENTS; } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\results\CommandFailure.java,CommandFailure,public  (int statusCode String message){ this.statusCode=statusCode; this.message=message; } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\results\CommandFailure.java,getStatusCode,@Override public int  (){ return statusCode; } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\results\CommandFailure.java,getStringResult,@Override public String  (){ return message; } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\CommandDriver.java,CommandDriver,public  (Command command String[] args){ this.myCommand=command; this.args=Arrays.copyOf(args args.length); } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\CommandDriver.java,go,public CommandResult  (){ return args.length > 0 ? nextCommand(args[0]) : myCommand.perform(args); } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\CommandDriver.java,main,"@SuppressWarnings({""squid:S106"" ""PMD.SystemPrintln"" ""squid:S1147""}) public static void  (String[] args){ final CommandResult result=new CommandDriver(new RootCommandLine() args).go(); if (StringUtils.isNotBlank(result.getStringResult())) { System.out.prin"
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\CommandDriver.java,nextCommand,public CommandResult  (String nextArgument){ if (StringUtils.isBlank(nextArgument)) { throw new IllegalArgumentException(); } for ( Command availableCommand : myCommand.availableCommands()) { if (availableCommand.getCommandToken().equalsIgnoreCase(nextArgument)) { return new CommandDriver(availableCommand Arrays.copyOfRange(args 1 args.length)).go(); } } return myCommand.perform(args); } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\results\MessageResult.java,MessageResult,public  (String message){ this.message=message; } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\results\MessageResult.java,getStatusCode,@Override public int  (){ return StatusCodes.OK; } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\command\results\MessageResult.java,getStringResult,@Override public String  (){ return message; } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\RootCommandLine.java,availableCommands,@Override public Command[]  (){ return new Command[]{new DistributedDatastoreCommandList() new LocalDatastoreCommandList()}; } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\RootCommandLine.java,getCommandDescription,"@Override public String  (){ throw new UnsupportedOperationException(""Root command has no description.""); } "
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\main\java\org\openrepose\cli\RootCommandLine.java,getCommandToken,"@Override public String  (){ throw new UnsupportedOperationException(""Root command has no token.""); } "
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\test\java\org\openrepose\cli\RootCommandLineTest.java,shouldReturnCommandArray,@Test public void  (){ assertNotNull(commands); } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\test\java\org\openrepose\cli\RootCommandLineTest.java,shouldThrowExceptionWhenGettingCommandDescription,@Test(expected=UnsupportedOperationException.class) public void  (){ rootCommandLine.getCommandDescription(); } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\test\java\org\openrepose\cli\RootCommandLineTest.java,shouldThrowExceptionWhenGettingCommandToken,@Test(expected=UnsupportedOperationException.class) public void  (){ rootCommandLine.getCommandToken(); } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\test\java\org\openrepose\cli\command\results\CommandFailureTest.java,testMessage,"@Test public void  (){ CommandFailure testFailure=new CommandFailure(0 ""testMessage""); assertThat(testFailure.getStringResult() equalTo(""testMessage"")); } "
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\cli-utils\src\test\java\org\openrepose\cli\command\results\CommandFailureTest.java,testStatus,"@Test public void  (){ CommandFailure testFailure=new CommandFailure(0 ""testMessage""); assertThat(testFailure.getStatusCode() equalTo(0)); } "
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\commons\commons-configuration\src\main\java\org\openrepose\commons\config\ConfigurationResourceException.java,ConfigurationResourceException,public  (String string Throwable thrwbl){ super(string thrwbl); } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\commons\commons-configuration\src\main\java\org\openrepose\commons\config\manager\LockedConfigurationUpdater.java,LockedConfigurationUpdater,public  (KeyedStackLock updateLock Object updateKey){ this.updateLock=updateLock; this.updateKey=updateKey; } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\commons\commons-configuration\src\main\java\org\openrepose\commons\config\manager\LockedConfigurationUpdater.java,configurationUpdated,@Override public final void  (T configurationObject){ updateLock.lock(updateKey); try { onConfigurationUpdated(configurationObject); } finally { updateLock.unlock(updateKey); } isInitialized=true; } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\commons\commons-configuration\src\main\java\org\openrepose\commons\config\manager\LockedConfigurationUpdater.java,isInitialized,@Override public boolean  (){ return isInitialized; } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\artifacts\web-application\src\main\java\org\openrepose\core\ReposeInitializer.java,onStartup,@Override public void  (ServletContext servletContext) throws ServletException { AnnotationConfigWebApplicationContext rootContext=new AnnotationConfigWebApplicationContext(); String configRoot=System.getProperty(CONFIG_ROOT); String clusterId=System.getP
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\commons\commons-configuration\src\main\java\org\openrepose\commons\config\parser\generic\GenericResourceConfigurationParser.java,GenericResourceConfigurationParser,public  (){ super(ConfigurationResource.class); } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\commons\commons-configuration\src\main\java\org\openrepose\commons\config\parser\generic\GenericResourceConfigurationParser.java,read,@Override public ConfigurationResource  (ConfigurationResource cr){ return cr; } 
C:\Users\User\Desktop\Thesis\repose\repose-aggregator\commons\commons-configuration\src\main\java\org\openrepose\commons\config\parser\common\AbstractConfigurationObjectParser.java,AbstractConfigurationObjectParser,public  (Class<T> configurationClass){ this.configurationClass=configurationClass; } 
