ProjectName,methodName,methodBody
C:\Users\User\Desktop\Thesis\thucydides\thucydides-test-utils\src\test\java\net\thucydides\core\hamcrest\WhenUsingTheXMLMatcherTest.java,should_match_identical_xml_documents,"@Test public void  (){ String anXmlDocument=""<sale><item code='a'>Item A</item></sale>""; assertThat(anXmlDocument isSimilarTo(anXmlDocument)); } "
C:\Users\User\Desktop\Thesis\thucydides\thucydides-test-utils\src\test\java\net\thucydides\core\hamcrest\WhenUsingTheXMLMatcherTest.java,should_not_match_different_xml_documents,"@Test public void  (){ String anXmlDocument=""<sale><item code='a'>Item A</item></sale>""; String aDifferentXmlDocument=""<loan><item code='a'>Item A</item></loan>""; assertThat(anXmlDocument not(isSimilarTo(aDifferentXmlDocument))); } "
C:\Users\User\Desktop\Thesis\thucydides\thucydides-test-utils\src\test\java\net\thucydides\core\hamcrest\WhenUsingTheXMLMatcherTest.java,should_display_the_error_message_if_available,"@Test public void  (){ String anXmlDocument=""<sale><item code='a'>Item A</item></sale>""; String aDifferentXmlDocument=""<loan><item code='a'>Item A</item></loan>""; XMLIsSimilarMatcher matcher=new XMLIsSimilarMatcher(anXmlDocument); matcher.matchesSafely(aD"
C:\Users\User\Desktop\Thesis\thucydides\thucydides-test-utils\src\test\java\net\thucydides\core\hamcrest\WhenUsingTheXMLMatcherTest.java,should_not_match_invalid_xml_document,"@Test public void  (){ String anXmlDocument=""<sale><item code='a'>Item A</item></sale>""; String aDifferentXmlDocument=""<loan><item code='a'>Item A</item><>""; assertThat(anXmlDocument not(isSimilarTo(aDifferentXmlDocument))); } "
C:\Users\User\Desktop\Thesis\thucydides\thucydides-test-utils\src\test\java\net\thucydides\core\hamcrest\WhenUsingTheXMLMatcherTest.java,should_ignore_white_space_for_matches,"@Test public void  (){ String anXmlDocument=""<sale><item code='a'>Item A</item></sale>""; String anotherXmlDocument=""<sale> <item code='a'>Item A</item></sale>""; assertThat(anXmlDocument isSimilarTo(anotherXmlDocument)); } "
C:\Users\User\Desktop\Thesis\thucydides\thucydides-test-utils\src\test\java\net\thucydides\core\hamcrest\WhenUsingTheXMLMatcherTest.java,should_ignore_different_quotes_for_matches,"@Test public void  (){ String anXmlDocument=""<sale><item code='a'>Item A</item></sale>""; String anotherXmlDocument=""<sale><item code=\""a\"">Item A</item></sale>""; assertThat(anXmlDocument isSimilarTo(anotherXmlDocument)); } "
C:\Users\User\Desktop\Thesis\thucydides\thucydides-test-utils\src\test\java\net\thucydides\core\hamcrest\WhenUsingTheXMLMatcherTest.java,should_display_expected_xml_document_when_failing,"@Test public void  (){ String anXmlDocument=""<sale><item code='a'>Item A</item></sale>""; XMLIsSimilarMatcher matcher=new XMLIsSimilarMatcher(anXmlDocument); Description description=new StringDescription(); matcher.describeTo(description); assertThat(descr"
C:\Users\User\Desktop\Thesis\thucydides\thucydides-test-utils\src\main\java\net\thucydides\core\hamcrest\XMLMatchers.java,isSimilarTo,@Factory public static Matcher<String>  (final String expectedDocment String... excludedNodes){ return new XMLIsSimilarMatcher(expectedDocment excludedNodes); } 
C:\Users\User\Desktop\Thesis\thucydides\thucydides-test-utils\src\main\java\net\thucydides\core\hamcrest\XMLIsSimilarMatcher.java,differenceFound,@Override public int  (Difference difference){ if (excludedNodes.contains(difference.getControlNodeDetail().getNode().getLocalName())) return 1; else { return 0; } } 
C:\Users\User\Desktop\Thesis\thucydides\thucydides-test-utils\src\main\java\net\thucydides\core\hamcrest\XMLIsSimilarMatcher.java,recordErrorMessage,private void  (final Diff difference){ StringBuffer buffer=new StringBuffer(); if (difference != null) { buffer=difference.appendMessage(buffer); } errorMessage=buffer.toString(); } 
