ProjectName,methodName,methodBody
C:\Users\User\Desktop\Thesis\undertow\core\src\main\java\io\undertow\attribute\BytesSentAttribute.java,BytesSentAttribute,public  (boolean dashIfZero){ this.dashIfZero=dashIfZero; } 
C:\Users\User\Desktop\Thesis\undertow\core\src\main\java\io\undertow\attribute\AuthenticationTypeExchangeAttribute.java,name,"@Override public String  (){ return ""Authentication Type""; } "
C:\Users\User\Desktop\Thesis\undertow\core\src\main\java\io\undertow\attribute\CompositeExchangeAttribute.java,readAttribute,@Override public String  (HttpServerExchange exchange){ final StringBuilder sb=new StringBuilder(); for (int i=0; i < attributes.length; ++i) { final String val=attributes[i].readAttribute(exchange); if (val != null) { sb.append(val); } } return sb.toStri
C:\Users\User\Desktop\Thesis\undertow\core\src\main\java\io\undertow\attribute\CompositeExchangeAttribute.java,writeAttribute,"@Override public void  (HttpServerExchange exchange String newValue) throws ReadOnlyAttributeException { throw new ReadOnlyAttributeException(""combined"" newValue); } "
C:\Users\User\Desktop\Thesis\undertow\core\src\main\java\io\undertow\attribute\BytesSentAttribute.java,build,@Override public ExchangeAttribute  (final String token){ if (token.equals(BYTES_SENT_SHORT_LOWER)) { return new BytesSentAttribute(true); } if (token.equals(BYTES_SENT) || token.equals(BYTES_SENT_SHORT_UPPER)) { return new BytesSentAttribute(false); } re
C:\Users\User\Desktop\Thesis\undertow\core\src\main\java\io\undertow\attribute\BytesSentAttribute.java,name,"@Override public String  (){ return ""Bytes Sent""; } "
C:\Users\User\Desktop\Thesis\undertow\core\src\main\java\io\undertow\attribute\BytesSentAttribute.java,priority,@Override public int  (){ return 0; } 
C:\Users\User\Desktop\Thesis\undertow\core\src\main\java\io\undertow\attribute\BytesSentAttribute.java,readAttribute,"@Override public String  (final HttpServerExchange exchange){ if (dashIfZero) { long bytesSent=exchange.getResponseBytesSent(); return bytesSent == 0 ? ""-"" : Long.toString(bytesSent); } else { return Long.toString(exchange.getResponseBytesSent()); } } "
C:\Users\User\Desktop\Thesis\undertow\core\src\main\java\io\undertow\attribute\BytesSentAttribute.java,writeAttribute,"@Override public void  (final HttpServerExchange exchange final String newValue) throws ReadOnlyAttributeException { throw new ReadOnlyAttributeException(""Bytes sent"" newValue); } "
C:\Users\User\Desktop\Thesis\undertow\core\src\main\java\io\undertow\attribute\ConstantExchangeAttribute.java,ConstantExchangeAttribute,public  (final String value){ this.value=value; } 
C:\Users\User\Desktop\Thesis\undertow\core\src\main\java\io\undertow\attribute\AuthenticationTypeExchangeAttribute.java,priority,@Override public int  (){ return 0; } 
C:\Users\User\Desktop\Thesis\undertow\core\src\main\java\io\undertow\attribute\AuthenticationTypeExchangeAttribute.java,readAttribute,@Override public String  (HttpServerExchange exchange){ SecurityContext sc=exchange.getSecurityContext(); if (sc == null) { return null; } return sc.getMechanismName(); } 
C:\Users\User\Desktop\Thesis\undertow\core\src\main\java\io\undertow\attribute\DateTimeAttribute.java,DateTimeAttribute,public  (final String dateFormat final String timezone){ this.dateFormat=dateFormat; this.cachedFormat=new ThreadLocal<SimpleDateFormat>(){ @Override protected SimpleDateFormat initialValue(){ final SimpleDateFormat format=new SimpleDateFormat(dateFormat); if (timezone != null) { format.setTimeZone(TimeZone.getTimeZone(timezone)); } return format; } } ; } 
